#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123985.1-p1      -            717 4744at5820           -            548  4.2e-292  967.8  20.0   1   4      0.11        16    2.1   0.0     1    47     1    66     1    80 0.58 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 4744at5820           -            548   1.9e-21   74.5   2.7   3   3       7.8   1.1e+03   -4.0   2.8    22    86   654   720   637   736 0.52 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084125.1-p1      -            844 4744at5820           -            548   3.1e-19   67.2   3.8   1   3     0.005       0.7    6.6   0.0   189   247   172   236    94   328 0.73 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084125.1-p1      -            844 4744at5820           -            548   3.1e-19   67.2   3.8   2   3         4   5.7e+02   -3.0   0.1   337   379   363   406   359   419 0.72 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084125.1-p1      -            844 4744at5820           -            548   3.1e-19   67.2   3.8   3   3   1.5e-19   2.1e-17   61.2   0.2   407   525   510   629   497   639 0.86 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 4744at5820           -            548   1.3e-17   61.8   2.5   1   3       5.3   7.6e+02   -3.4   0.4   378   408   105   135    97   145 0.44 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 4744at5820           -            548   1.3e-17   61.8   2.5   2   3       1.5   2.1e+02   -1.6   3.4    44    88   247   284   199   308 0.55 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 4744at5820           -            548   1.3e-17   61.8   2.5   3   3   9.4e-20   1.3e-17   61.8   2.5   382   511   354   486   345   496 0.87 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 4744at5820           -            548   2.6e-15   54.2   1.7   1   3    0.0045      0.64    6.7   0.0   155   215   144   205   132   221 0.81 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 4744at5820           -            548   2.6e-15   54.2   1.7   2   3       2.3   3.3e+02   -2.2   0.0   280   321   500   541   479   558 0.77 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 4744at5820           -            548   2.6e-15   54.2   1.7   3   3     1e-14   1.5e-12   45.1   0.3   400   501   889   990   883   998 0.96 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000990.1-p1      -            548 4744at5820           -            548   7.3e-15   52.7  10.7   1   2     5e-05     0.007   13.2   1.6   145   321    97   263    58   280 0.63 | transcript=PVX_000990.1 | gene=PVX_000990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase protein, putative | transcript_product=ATP-dependent RNA helicase protein, putative | location=Pv_Sal1_chr03:130416-132387(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000990.1-p1      -            548 4744at5820           -            548   7.3e-15   52.7  10.7   2   2   1.8e-14   2.5e-12   44.4   2.1   406   507   362   470   354   524 0.84 | transcript=PVX_000990.1 | gene=PVX_000990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase protein, putative | transcript_product=ATP-dependent RNA helicase protein, putative | location=Pv_Sal1_chr03:130416-132387(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 4744at5820           -            548   5.5e-13   46.5   8.4   1   6      0.73     1e+02   -0.6   0.0   154   200    75   119    64   132 0.80 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 4744at5820           -            548   5.5e-13   46.5   8.4   2   6         4   5.7e+02   -3.0   0.0   198   222   212   236   207   249 0.74 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 4744at5820           -            548   5.5e-13   46.5   8.4   3   6      0.69        97   -0.5   0.0   224   262   316   354   301   363 0.73 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 4744at5820           -            548   5.5e-13   46.5   8.4   4   6     0.045       6.3    3.4   0.1   279   343   430   498   420   504 0.77 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 4744at5820           -            548   5.5e-13   46.5   8.4   5   6   3.9e-15   5.5e-13   46.5   8.4   408   497   762   850   758   902 0.89 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 4744at5820           -            548   5.5e-13   46.5   8.4   6   6       1.9   2.7e+02   -1.9   0.8    16    89   946  1025   927  1044 0.58 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 4744at5820           -            548     7e-13   46.2   2.6   1   2   3.1e-11   4.5e-09   33.6   2.3   157   365   235   452   213   461 0.79 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 4744at5820           -            548     7e-13   46.2   2.6   2   2   0.00033     0.046   10.5   0.0   439   510   855   925   836   934 0.86 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 4744at5820           -            548   4.8e-11   40.1   3.3   1   2     0.095        13    2.4   0.0   190   218    64    92    47    99 0.86 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 4744at5820           -            548   4.8e-11   40.1   3.3   2   2   3.2e-12   4.5e-10   36.9   1.6   387   513   263   388   248   417 0.88 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 4744at5820           -            548   2.4e-06   24.6   3.1   1   3       6.9   9.7e+02   -3.8   0.0   198   214   622   638   620   640 0.89 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 4744at5820           -            548   2.4e-06   24.6   3.1   2   3      0.22        32    1.1   0.0   284   318   896   931   892   939 0.76 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 4744at5820           -            548   2.4e-06   24.6   3.1   3   3   1.7e-08   2.4e-06   24.6   3.1   407   514  1137  1260  1124  1272 0.73 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 4744at5820           -            548   0.00021   18.2   4.2   1   3       2.8     4e+02   -2.5   0.3    17    59    97   139    88   207 0.62 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 4744at5820           -            548   0.00021   18.2   4.2   2   3     0.081        12    2.6   0.0   216   253   233   270   221   283 0.75 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 4744at5820           -            548   0.00021   18.2   4.2   3   3     6e-06   0.00085   16.2   0.1   459   509   663   713   634   718 0.87 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4744at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4744at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4744at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:49 2026
# [ok]
