#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084105.1-p1      -            368 9902at5820           -            263  1.1e-150  498.8  22.9   1   1  1.2e-152  1.3e-150  498.6  22.9     1   263    73   349    73   349 0.97 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 9902at5820           -            263   6.9e-07   27.4   5.4   2   2       8.1   8.8e+02   -2.4   0.0   230   257   303   330   298   333 0.78 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 9902at5820           -            263   1.4e-06   26.4   4.8   1   2   4.7e-07   5.1e-05   21.3   1.2    77   159   918   996   912  1018 0.82 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 9902at5820           -            263   1.4e-06   26.4   4.8   2   2     0.033       3.6    5.4   0.1   156   211  1081  1144  1068  1158 0.68 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 9902at5820           -            263   3.7e-06   25.0   8.9   1   2   1.2e-06   0.00014   19.9   4.9    70   161   318   405   271   411 0.84 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 9902at5820           -            263   3.7e-06   25.0   8.9   2   2     0.015       1.6    6.5   0.1   173   230   532   590   524   599 0.82 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 9902at5820           -            263   1.4e-05   23.2   0.1   1   1   3.3e-07   3.6e-05   21.8   0.1    60   221    75   240    62   276 0.73 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 9902at5820           -            263     2e-05   22.6   4.6   1   2   2.9e-05    0.0031   15.4   2.4    62   172  2993  3110  2985  3122 0.84 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 9902at5820           -            263     2e-05   22.6   4.6   2   2     0.012       1.3    6.8   0.0   185   225  3144  3187  3134  3207 0.75 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 9902at5820           -            263     3e-05   22.0   3.8   1   1   4.4e-07   4.8e-05   21.4   3.1    57   159  1153  1252  1108  1266 0.76 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 9902at5820           -            263   0.00022   19.2   0.7   1   3       8.4   9.1e+02   -2.5   0.0    38    57   498   517   491   531 0.78 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 9902at5820           -            263   0.00022   19.2   0.7   2   3     2e-06   0.00022   19.2   0.7    88   159   941  1009   932  1037 0.83 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 9902at5820           -            263   0.00022   19.2   0.7   3   3      0.33        36    2.1   0.0   181   217  1159  1200  1145  1248 0.61 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 9902at5820           -            263   0.00026   19.0   1.2   1   1   5.5e-06    0.0006   17.8   1.1    64   182   156   281   148   328 0.65 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 9902at5820           -            263   0.00092   17.2   0.2   1   1   8.5e-06   0.00092   17.2   0.2   116   174    97   159    89   173 0.81 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088265.1-p1      -           1415 9902at5820           -            263     0.003   15.5   0.6   1   1     5e-05    0.0055   14.6   0.6    93   166  1179  1253  1167  1264 0.77 | transcript=PVX_088265.1 | gene=PVX_088265 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, FIKK family | transcript_product=serine/threonine protein kinase, FIKK family | location=Pv_Sal1_chr01:548178-552688(+) | protein_length=1415 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 9902at5820           -            263    0.0088   13.9   0.1   1   1   0.00023     0.024   12.5   0.0   119   165   904   952   896   960 0.84 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 9902at5820           -            263      0.01   13.7   0.1   1   1   0.00022     0.024   12.5   0.1   113   161   376   424   364   434 0.84 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090095.1-p1      -            643 9902at5820           -            263     0.014   13.3   3.9   1   2   0.00024     0.026   12.4   2.8   122   166   200   245   184   259 0.86 | transcript=PVX_090095.1 | gene=PVX_090095 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=Pv_Sal1_chr05:1123070-1125001(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090095.1-p1      -            643 9902at5820           -            263     0.014   13.3   3.9   2   2       6.9   7.4e+02   -2.2   0.0   151   168   267   284   247   294 0.79 | transcript=PVX_090095.1 | gene=PVX_090095 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=Pv_Sal1_chr05:1123070-1125001(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9902at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9902at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9902at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:11 2026
# [ok]
