#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090175.1-p1      -            388 6857at5820           -            381  4.3e-271  896.6   4.7   1   1  3.3e-273  4.9e-271  896.4   4.7     1   381     7   388     7   388 1.00 | transcript=PVX_090175.1 | gene=PVX_090175 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic initiation factor, putative | transcript_product=eukaryotic initiation factor, putative | location=Pv_Sal1_chr05:1214128-1215294(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 6857at5820           -            381   9.1e-11   39.7   0.0   1   2      0.05       7.5    3.8   0.0    12    71   145   204   134   221 0.85 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 6857at5820           -            381   9.1e-11   39.7   0.0   2   2   6.6e-11   9.8e-09   33.0   0.1   247   343   895   991   880  1007 0.88 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000990.1-p1      -            548 6857at5820           -            381   1.1e-10   39.4   7.1   1   1   3.5e-12   5.3e-10   37.2   7.1   177   375   290   499   122   505 0.58 | transcript=PVX_000990.1 | gene=PVX_000990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase protein, putative | transcript_product=ATP-dependent RNA helicase protein, putative | location=Pv_Sal1_chr03:130416-132387(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097775.1-p1      -            522 6857at5820           -            381   1.7e-09   35.5   6.0   1   1   2.1e-11   3.1e-09   34.7   6.0    46   357   133   466    94   479 0.77 | transcript=PVX_097775.1 | gene=PVX_097775 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1171269-1173201(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 6857at5820           -            381   3.9e-09   34.3   0.4   1   2       1.6   2.4e+02   -1.2   0.0    27    86    44   100    39   181 0.75 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 6857at5820           -            381   3.9e-09   34.3   0.4   2   2   8.5e-11   1.3e-08   32.6   0.1   250   358   284   393   270   408 0.92 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6857at5820           -            381   4.4e-09   34.1   0.9   1   3      0.55        82    0.3   0.0     5    40   480   516   476   522 0.84 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6857at5820           -            381   4.4e-09   34.1   0.9   2   3     0.095        14    2.8   0.0   126   163   895   933   890   946 0.83 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6857at5820           -            381   4.4e-09   34.1   0.9   3   3   6.3e-09   9.5e-07   26.5   0.4   297   352  1202  1257  1122  1267 0.69 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6857at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6857at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6857at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:54 2026
# [ok]
