#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117030.1-p1      -            398 6975at5820           -            385  4.7e-275  909.6   5.6   1   1  3.7e-277  5.3e-275  909.5   5.6     1   385     8   393     8   393 1.00 | transcript=PVX_117030.1 | gene=PVX_117030 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr12:1473842-1475384(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_198290-t26_1-p1  -            531 6975at5820           -            385   3.9e-12   44.1   0.3   1   1   4.4e-14   6.2e-12   43.5   0.3    26   198   135   331   125   358 0.77 | transcript=PVX_198290-t26_1 | gene=PVX_198290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000408:128-2376(-) | protein_length=531 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6975at5820           -            385   4.8e-12   43.8   1.0   1   3       0.6        86    0.2   0.0     8    60   477   534   471   544 0.75 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6975at5820           -            385   4.8e-12   43.8   1.0   2   3     0.024       3.4    4.8   0.0   133   170   895   933   887   960 0.84 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6975at5820           -            385   4.8e-12   43.8   1.0   3   3   3.1e-11   4.3e-09   34.1   0.3   249   358  1131  1256  1113  1265 0.68 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000990.1-p1      -            548 6975at5820           -            385   4.6e-11   40.6   4.3   1   1     4e-12   5.7e-10   37.0   4.2    57   382   140   497   122   500 0.62 | transcript=PVX_000990.1 | gene=PVX_000990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase protein, putative | transcript_product=ATP-dependent RNA helicase protein, putative | location=Pv_Sal1_chr03:130416-132387(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097775.1-p1      -            522 6975at5820           -            385   5.4e-10   37.1   1.6   1   1   6.8e-12   9.6e-10   36.3   1.6    54   360   135   462    91   477 0.74 | transcript=PVX_097775.1 | gene=PVX_097775 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1171269-1173201(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 6975at5820           -            385   1.8e-09   35.3   0.6   1   2   9.9e-06    0.0014   16.0   0.1    49   211   266   448   248   458 0.75 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 6975at5820           -            385   1.8e-09   35.3   0.6   2   2   3.5e-06    0.0005   17.4   0.0   280   352   844   919   828   928 0.79 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 6975at5820           -            385   1.6e-08   32.2   0.1   1   1     2e-10   2.9e-08   31.4   0.1   256   367   283   394   266   409 0.91 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 6975at5820           -            385    0.0059   13.9   0.1   1   2       2.5   3.5e+02   -1.8   0.0    33   106   696   780   688   843 0.63 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 6975at5820           -            385    0.0059   13.9   0.1   2   2   0.00021      0.03   11.6   0.0   266   356  1050  1153  1022  1168 0.78 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6975at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6975at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6975at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:25 2026
# [ok]
