#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082820.1-p1      -            563 4925at5820           -            472    1e-292  969.2  37.4   1   2   1.1e-18   8.7e-17   59.4   2.7     1    47    32    79    32    87 0.89 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 4925at5820           -            472   5.6e-20   69.9   6.0   3   3      0.69        56    0.6   0.0   273   302   477   506   444   526 0.80 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 4925at5820           -            472   4.5e-19   66.9   5.6   1   1   7.2e-21   5.9e-19   66.5   5.6    94   298   136   342   106   355 0.82 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 4925at5820           -            472   5.2e-18   63.4   1.7   1   1   9.2e-20   7.5e-18   62.9   1.7    47   259   449   666   421   681 0.79 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 4925at5820           -            472   1.1e-17   62.3   3.6   1   2       2.2   1.8e+02   -1.0   5.8    62   150   465   568   417   584 0.65 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 4925at5820           -            472   1.1e-17   62.3   3.6   2   2   1.4e-19   1.1e-17   62.3   3.6    94   243   565   716   560   739 0.75 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 4925at5820           -            472   3.6e-17   60.6   0.6   1   1   7.4e-19     6e-17   59.9   0.6    83   251   798   965   764   976 0.86 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 4925at5820           -            472   2.4e-16   57.9   0.1   1   1   5.2e-18   4.2e-16   57.1   0.1   113   319  1511  1730  1492  1735 0.82 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 4925at5820           -            472   5.9e-16   56.6   0.4   1   1   1.4e-17   1.1e-15   55.7   0.4    62   249    82   275    62   361 0.80 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083520.1-p1      -            423 4925at5820           -            472   6.4e-16   56.5  27.1   1   1   4.2e-17   3.4e-15   54.1  27.1    85   438    56   398    49   409 0.82 | transcript=PVX_083520.1 | gene=PVX_083520 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:54766-58068(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 4925at5820           -            472   7.9e-16   56.2   5.7   1   2     0.042       3.5    4.6   2.8    61   120   610   671   556   676 0.70 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 4925at5820           -            472   7.9e-16   56.2   5.7   2   2   1.7e-16   1.4e-14   52.1   0.0   149   262   853   970   845   977 0.85 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 4925at5820           -            472   3.7e-15   54.0   5.1   1   1   7.8e-17   6.3e-15   53.2   5.1    62   258    35   247    13   257 0.74 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087765.1-p1      -           1251 4925at5820           -            472   5.6e-15   53.4  17.1   1   2   5.9e-14   4.8e-12   43.7   8.2    43   198   718   878   693   888 0.80 | transcript=PVX_087765.1 | gene=PVX_087765 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr01:131139-134894(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087765.1-p1      -           1251 4925at5820           -            472   5.6e-15   53.4  17.1   2   2   4.5e-05    0.0037   14.4   1.6   210   250  1094  1134  1039  1228 0.77 | transcript=PVX_087765.1 | gene=PVX_087765 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr01:131139-134894(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095165.1-p1      -            327 4925at5820           -            472   8.9e-15   52.7   0.7   1   1   1.4e-16   1.1e-14   52.4   0.7   114   299    81   271    44   298 0.85 | transcript=PVX_095165.1 | gene=PVX_095165 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr08:854649-855966(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 4925at5820           -            472   1.1e-13   49.1   5.9   1   2   2.2e-09   1.8e-07   28.7   2.0   111   185   918   992   914  1006 0.91 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 4925at5820           -            472   1.1e-13   49.1   5.9   2   2   3.6e-07   2.9e-05   21.3   0.1   190   254  1084  1147  1074  1156 0.86 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 4925at5820           -            472   4.4e-13   47.1   1.0   1   1   7.2e-15   5.9e-13   46.7   1.0    97   255    84   253    33   287 0.78 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114305.1-p1      -           2213 4925at5820           -            472   4.9e-13   47.0   7.5   1   2       4.4   3.6e+02   -2.0  10.2    92   191  1397  1502  1377  1515 0.76 | transcript=PVX_114305.1 | gene=PVX_114305 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr11:1080139-1086780(+) | protein_length=2213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114305.1-p1      -           2213 4925at5820           -            472   4.9e-13   47.0   7.5   2   2     6e-15   4.9e-13   47.0   7.5    84   259  1983  2161  1973  2211 0.86 | transcript=PVX_114305.1 | gene=PVX_114305 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr11:1080139-1086780(+) | protein_length=2213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 4925at5820           -            472   1.7e-12   45.2   9.3   1   3      0.11         9    3.3   0.3    61   122   802   870   760   948 0.79 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 4925at5820           -            472   1.7e-12   45.2   9.3   2   3   1.6e-10   1.3e-08   32.4   1.4   147   262  1159  1290  1142  1303 0.79 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 4925at5820           -            472   1.7e-12   45.2   9.3   3   3    0.0002     0.016   12.3   0.0   262   316  1321  1380  1306  1386 0.81 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 4925at5820           -            472   2.9e-12   44.5   0.3   1   1   5.3e-14   4.3e-12   43.9   0.3    79   306   191   445   153   458 0.74 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 4925at5820           -            472   7.3e-12   43.1  11.7   1   3   8.3e-05    0.0067   13.6   1.7    61   122    39    96     5   119 0.74 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 4925at5820           -            472   7.3e-12   43.1  11.7   2   3   0.00021     0.017   12.2   0.1   144   186   227   269   213   280 0.76 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 4925at5820           -            472   7.3e-12   43.1  11.7   3   3   1.2e-07   9.7e-06   22.9   0.3   189   262   571   646   543   669 0.85 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 4925at5820           -            472   1.3e-10   39.0   2.3   1   1   2.7e-12   2.2e-10   38.3   2.3    63   226  2956  3133  2939  3225 0.67 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 4925at5820           -            472   2.3e-10   38.2   5.1   1   1   3.8e-11   3.1e-09   34.5   5.0   345   471    29   163    26   164 0.85 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 4925at5820           -            472   4.2e-10   37.3   1.2   1   1   7.3e-12     6e-10   36.8   1.2    61   261    13   222     3   278 0.71 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 4925at5820           -            472   4.8e-10   37.1   4.6   1   1   7.2e-12   5.8e-10   36.8   4.6   344   471    29   165    18   166 0.83 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 4925at5820           -            472   7.5e-10   36.5   5.9   1   4       2.4   1.9e+02   -1.1   0.0   101   126    97   123    83   131 0.83 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 4925at5820           -            472   7.5e-10   36.5   5.9   2   4   1.5e-10   1.2e-08   32.5   0.2    95   228   125   270   100   276 0.78 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 4925at5820           -            472   7.5e-10   36.5   5.9   3   4      0.04       3.2    4.7   0.1   226   261   479   514   463   556 0.84 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 4925at5820           -            472   7.5e-10   36.5   5.9   4   4       2.2   1.8e+02   -1.1   0.0   276   307   561   596   544   600 0.77 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 4925at5820           -            472   9.8e-10   36.1   0.5   1   2   2.5e-09   2.1e-07   28.4   0.5   126   200  3079  3152  3069  3162 0.84 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 4925at5820           -            472   9.8e-10   36.1   0.5   2   2      0.03       2.4    5.1   0.0   212   243  3208  3240  3200  3250 0.85 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 4925at5820           -            472   9.3e-09   32.9   1.9   1   1   3.8e-10   3.1e-08   31.2   1.7   345   471    29   163    27   164 0.80 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 4925at5820           -            472   1.1e-08   32.6   8.0   1   2   9.7e-08   7.9e-06   23.2   1.3   407   471    36   101    30   102 0.89 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 4925at5820           -            472   1.1e-08   32.6   8.0   2   2   8.7e-05     0.007   13.5   0.7   413   471   115   174   110   175 0.92 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 4925at5820           -            472   5.4e-07   27.1   0.1   1   3     0.028       2.3    5.2   0.0    92   143   820   873   800   881 0.77 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 4925at5820           -            472   5.4e-07   27.1   0.1   2   3     0.015       1.2    6.1   0.0   156   189   911   944   901   966 0.82 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 4925at5820           -            472   5.4e-07   27.1   0.1   3   3   0.00035     0.028   11.5   0.0   213   250  1060  1098  1049  1103 0.82 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 4925at5820           -            472   7.3e-06   23.3   0.0   1   1   2.9e-07   2.3e-05   21.7   0.0   146   259   524   649   394   654 0.83 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 4925at5820           -            472   8.3e-06   23.2  10.1   1   2   0.00019     0.015   12.4   0.4   413   466    66   120    47   126 0.80 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 4925at5820           -            472   8.3e-06   23.2  10.1   2   2   4.5e-05    0.0036   14.4   3.9   345   435   140   238   126   253 0.77 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 4925at5820           -            472   8.5e-06   23.1   2.9   1   3       6.9   5.6e+02   -2.7   0.3    55   123   224   291   211   299 0.54 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 4925at5820           -            472   8.5e-06   23.1   2.9   2   3   8.3e-05    0.0068   13.6   0.3   148   187   381   420   371   437 0.84 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 4925at5820           -            472   8.5e-06   23.1   2.9   3   3    0.0017      0.13    9.3   0.0   231   299   494   565   427   576 0.72 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 4925at5820           -            472   2.5e-05   21.6   7.9   1   2   2.3e-05    0.0018   15.4   2.7   413   471    21    80     8    81 0.88 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 4925at5820           -            472   2.5e-05   21.6   7.9   2   2    0.0016      0.13    9.3   0.2   414   470    95   152    85   154 0.86 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097750.1-p1      -            792 4925at5820           -            472   0.00057   17.1   0.0   1   1   1.6e-05    0.0013   15.9   0.0    67   181    34   142    25   158 0.68 | transcript=PVX_097750.1 | gene=PVX_097750 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr10:1195819-1198197(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4925at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4925at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4925at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:39 2026
# [ok]
