#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085345.1-p1      -           1004 4147at5820           -            788         0 1169.4   8.0   1   2  6.1e-227  6.5e-225  747.2   0.0     1   456     1   581     1   600 0.89 | transcript=PVX_085345.1 | gene=PVX_085345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1120650-1123664(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122175.1-p1      -            408 4147at5820           -            788       1.4    5.3  46.7   2   2   0.00017     0.018   11.5  21.2   492   623   248   389   233   400 0.30 | transcript=PVX_122175.1 | gene=PVX_122175 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:358025-359251(-) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110960.1-p1      -            670 4147at5820           -            788       1.8    4.9  17.1   1   1     0.024       2.6    4.4  17.1   505   589   521   602   502   645 0.55 | transcript=PVX_110960.1 | gene=PVX_110960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr06:822481-824493(+) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082765.1-p1      -            139 4147at5820           -            788       1.9    4.8  30.6   1   1     0.019       2.1    4.7  30.6   527   582    78   133    50   139 0.34 | transcript=PVX_082765.1 | gene=PVX_082765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:713180-713599(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082685.1-p1      -            388 4147at5820           -            788       2.1    4.7  14.6   1   1      0.03       3.2    4.0  14.6   453   558    51   162    27   183 0.56 | transcript=PVX_082685.1 | gene=PVX_082685 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 7 (MSP7) | transcript_product=merozoite surface protein 7 (MSP7) | location=Pv_Sal1_chr12:762152-763318(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082675.1-p1      -            453 4147at5820           -            788       2.4    4.5  24.8   1   1     0.035       3.8    3.8  24.8   476   597    49   146    34   197 0.39 | transcript=PVX_082675.1 | gene=PVX_082675 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 7 (MSP7) | transcript_product=merozoite surface protein 7 (MSP7) | location=Pv_Sal1_chr12:766598-767959(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118665.1-p1      -            255 4147at5820           -            788         3    4.1  33.3   1   1     0.037       3.9    3.8  33.3   475   592   126   233   110   245 0.26 | transcript=PVX_118665.1 | gene=PVX_118665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2958519-2959393(+) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 4147at5820           -            788       4.3    3.6  26.6   1   1     0.065       6.9    3.0  26.6   527   563   486   520   470   530 0.39 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003775.1-p1      -            250 4147at5820           -            788       4.6    3.5  22.2   1   1     0.051       5.4    3.3  22.2   531   588   114   175    89   205 0.36 | transcript=PVX_003775.1 | gene=PVX_003775 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 4, putative | transcript_product=merozoite surface protein 4, putative | location=Pv_Sal1_chr04:627214-628122(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 4147at5820           -            788       4.7    3.5  40.3   1   2   0.00035     0.037   10.4  27.9   522   635    10   126     2   128 0.43 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 4147at5820           -            788       4.7    3.5  40.3   2   2       1.1   1.2e+02   -1.2   4.4   582   627   261   309   220   320 0.41 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100870.1-p1      -            304 4147at5820           -            788       4.8    3.5  25.3   1   2     0.064       6.8    3.0  24.4   503   622    42   162     8   256 0.49 | transcript=PVX_100870.1 | gene=PVX_100870 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2436238-2437815(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100870.1-p1      -            304 4147at5820           -            788       4.8    3.5  25.3   2   2      0.88        94   -0.8   0.6   234   304   192   263   170   280 0.56 | transcript=PVX_100870.1 | gene=PVX_100870 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2436238-2437815(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001735.1-p1      -            588 4147at5820           -            788       6.4    3.1   9.2   1   1     0.091       9.6    2.5   9.2   526   585   340   398   311   441 0.47 | transcript=PVX_001735.1 | gene=PVX_001735 | organism=Plasmodium_vivax_Sal-1 | gene_product=golgi re-assembly stacking protein, putative | transcript_product=golgi re-assembly stacking protein, putative | location=Pv_Sal1_chr06:96867-98804(-) | protein_length=588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 4147at5820           -            788       6.6    3.0  71.4   1   1      0.39        42    0.4  71.7   476   614    88   233    56   256 0.55 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000945.1-p1      -            772 4147at5820           -            788       7.2    2.9  30.4   1   1      0.11        11    2.2  30.4   501   589   390   479   373   517 0.36 | transcript=PVX_000945.1 | gene=PVX_000945 | organism=Plasmodium_vivax_Sal-1 | gene_product=apical sushi protein, putative | transcript_product=apical sushi protein, putative | location=Pv_Sal1_chr03:184691-187491(-) | protein_length=772 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099590.1-p1      -            409 4147at5820           -            788       9.4    2.5  19.2   1   2     0.022       2.4    4.5  15.7   531   565    82   114    56   123 0.41 | transcript=PVX_099590.1 | gene=PVX_099590 | organism=Plasmodium_vivax_Sal-1 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=Pv_Sal1_chr07:899007-900236(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099590.1-p1      -            409 4147at5820           -            788       9.4    2.5  19.2   2   2       2.2   2.3e+02   -2.1   0.1   231   267   197   233   178   262 0.73 | transcript=PVX_099590.1 | gene=PVX_099590 | organism=Plasmodium_vivax_Sal-1 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=Pv_Sal1_chr07:899007-900236(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4147at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4147at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4147at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:27 2026
# [ok]
