#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089025.1-p1      -            322 7934at5820           -            173  4.7e-121  399.3  12.4   1   2  1.4e-117  1.7e-115  381.2   8.0     1   173    26   205    26   205 0.98 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 7934at5820           -            173     2e-11   42.4  13.2   2   3   9.2e-06    0.0011   17.2   3.6    10   167   970  1128   966  1134 0.81 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 7934at5820           -            173     2e-11   42.4  13.2   3   3   0.00023     0.027   12.6   0.2    56   114  1146  1207  1124  1217 0.81 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 7934at5820           -            173   3.6e-11   41.5  10.3   1   2   5.1e-09   6.1e-07   27.8   1.5    21   113   196   288   180   309 0.92 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 7934at5820           -            173   3.6e-11   41.5  10.3   2   2   1.1e-08   1.3e-06   26.7   2.0    37   164   254   398   247   407 0.73 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 7934at5820           -            173   3.4e-10   38.4  12.5   1   5       9.8   1.2e+03   -2.5   0.0   125   167   196   237   182   244 0.72 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 7934at5820           -            173   3.4e-10   38.4  12.5   2   5       2.9   3.5e+02   -0.8   0.0    55    90   249   284   222   293 0.80 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 7934at5820           -            173   3.4e-10   38.4  12.5   3   5       3.7   4.5e+02   -1.1   0.0   142   156   343   357   333   372 0.74 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 7934at5820           -            173   3.4e-10   38.4  12.5   4   5   9.9e-06    0.0012   17.1   0.8    36   113   570   650   551   658 0.63 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 7934at5820           -            173   3.4e-10   38.4  12.5   5   5   3.7e-08   4.4e-06   25.0   1.7    25   166   671   810   653   816 0.78 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093580.1-p1      -            365 7934at5820           -            173   3.6e-10   38.3   8.6   1   2   1.4e-09   1.7e-07   29.5   1.1    37   160    12   134     3   142 0.83 | transcript=PVX_093580.1 | gene=PVX_093580 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=Pv_Sal1_chr01:657930-660056(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093580.1-p1      -            365 7934at5820           -            173   3.6e-10   38.3   8.6   2   2   0.00065     0.079   11.1   1.3    44   164   150   268   133   276 0.72 | transcript=PVX_093580.1 | gene=PVX_093580 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=Pv_Sal1_chr01:657930-660056(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 7934at5820           -            173   4.6e-10   37.9   2.6   1   1   5.6e-12   6.8e-10   37.4   0.6    34   113   276   357   267   388 0.85 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 7934at5820           -            173   1.7e-09   36.1  11.2   1   4    0.0078      0.94    7.6   0.1    37   112   158   235   136   241 0.83 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 7934at5820           -            173   1.7e-09   36.1  11.2   2   4     0.011       1.3    7.1   0.3    17    95   309   395   294   410 0.71 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 7934at5820           -            173   1.7e-09   36.1  11.2   3   4   0.00093      0.11   10.6   0.0    56   115   423   482   407   495 0.85 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 7934at5820           -            173   1.7e-09   36.1  11.2   4   4   5.8e-05    0.0069   14.6   0.8    62   116   543   600   493   656 0.61 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090905.1-p1      -            616 7934at5820           -            173   2.9e-09   35.3   1.0   1   3       2.3   2.7e+02   -0.4   0.0    13    32    57    76    34    92 0.61 | transcript=PVX_090905.1 | gene=PVX_090905 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:85198-87048(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090905.1-p1      -            616 7934at5820           -            173   2.9e-09   35.3   1.0   2   3   9.1e-08   1.1e-05   23.7   0.0    49   117   252   324   239   346 0.77 | transcript=PVX_090905.1 | gene=PVX_090905 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:85198-87048(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090905.1-p1      -            616 7934at5820           -            173   2.9e-09   35.3   1.0   3   3    0.0062      0.75    7.9   0.1    53    71   590   608   549   613 0.74 | transcript=PVX_090905.1 | gene=PVX_090905 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:85198-87048(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122390.1-p1      -            524 7934at5820           -            173   2.9e-09   35.3   3.0   1   1   2.4e-10   2.9e-08   32.1   2.9    35   159   263   387   231   392 0.71 | transcript=PVX_122390.1 | gene=PVX_122390 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing regulator, putative | transcript_product=alternative splicing regulator, putative | location=Pv_Sal1_chr14:530575-532149(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 7934at5820           -            173   4.3e-09   34.8   0.1   1   3   2.7e-05    0.0033   15.6   0.0    35   149     3   119     1   144 0.74 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 7934at5820           -            173   4.3e-09   34.8   0.1   2   3   0.00038     0.045   11.9   0.0    10    81   155   223   152   256 0.75 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 7934at5820           -            173   4.3e-09   34.8   0.1   3   3      0.13        15    3.7   0.0    66   107   270   311   258   319 0.85 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101090.1-p1      -            376 7934at5820           -            173   3.2e-08   32.0   0.3   1   4    0.0041      0.49    8.5   0.1    43   103    29    90    17    96 0.81 | transcript=PVX_101090.1 | gene=PVX_101090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2620895-2622451(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101090.1-p1      -            376 7934at5820           -            173   3.2e-08   32.0   0.3   2   4     0.026       3.1    5.9   0.0    62   131    98   169    82   199 0.79 | transcript=PVX_101090.1 | gene=PVX_101090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2620895-2622451(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101090.1-p1      -            376 7934at5820           -            173   3.2e-08   32.0   0.3   3   4      0.83     1e+02    1.0   0.0    81   109   209   238   201   255 0.61 | transcript=PVX_101090.1 | gene=PVX_101090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2620895-2622451(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101090.1-p1      -            376 7934at5820           -            173   3.2e-08   32.0   0.3   4   4   0.00065     0.078   11.1   0.0    50   102   314   365   306   374 0.84 | transcript=PVX_101090.1 | gene=PVX_101090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2620895-2622451(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 7934at5820           -            173   1.1e-07   30.1   6.0   1   3   1.1e-06   0.00013   20.2   0.1    40   118    48   129    44   137 0.82 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 7934at5820           -            173   1.1e-07   30.1   6.0   2   3    0.0015      0.17   10.0   0.5    76   128   162   217   148   261 0.69 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 7934at5820           -            173   1.1e-07   30.1   6.0   3   3       1.7     2e+02    0.0   0.1    55   106   342   396   295   415 0.61 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083330.1-p1      -            720 7934at5820           -            173   4.2e-07   28.3   8.6   1   5      0.59        71    1.5   0.2   147   164    54    71    45    76 0.88 | transcript=PVX_083330.1 | gene=PVX_083330 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:200563-203937(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083330.1-p1      -            720 7934at5820           -            173   4.2e-07   28.3   8.6   2   5      0.16        20    3.3   0.0    41    75   154   188   124   229 0.69 | transcript=PVX_083330.1 | gene=PVX_083330 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:200563-203937(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083330.1-p1      -            720 7934at5820           -            173   4.2e-07   28.3   8.6   3   5      0.39        46    2.1   0.0    23    79   270   325   263   412 0.78 | transcript=PVX_083330.1 | gene=PVX_083330 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:200563-203937(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083330.1-p1      -            720 7934at5820           -            173   4.2e-07   28.3   8.6   4   5      0.32        39    2.4   0.3    97   164   518   586   426   593 0.68 | transcript=PVX_083330.1 | gene=PVX_083330 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:200563-203937(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083330.1-p1      -            720 7934at5820           -            173   4.2e-07   28.3   8.6   5   5   2.2e-06   0.00027   19.2   0.0    47   118   639   710   601   714 0.86 | transcript=PVX_083330.1 | gene=PVX_083330 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:200563-203937(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083500.1-p1      -            466 7934at5820           -            173     6e-07   27.8   0.1   1   1   1.1e-08   1.3e-06   26.7   0.1    65   163    95   198    66   209 0.82 | transcript=PVX_083500.1 | gene=PVX_083500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:71032-73869(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 7934at5820           -            173   8.1e-07   27.4   0.1   1   3       2.5     3e+02   -0.5   0.0    76   109   145   180   141   193 0.55 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 7934at5820           -            173   8.1e-07   27.4   0.1   2   3     0.058         7    4.8   0.0    78   112   200   234   166   244 0.80 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 7934at5820           -            173   8.1e-07   27.4   0.1   3   3   1.7e-05    0.0021   16.3   0.1    20   113   275   369   258   439 0.77 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 7934at5820           -            173   3.6e-06   25.2   0.3   1   1   8.4e-08     1e-05   23.8   0.3    40   143   132   244   119   277 0.88 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123715.1-p1      -            430 7934at5820           -            173   4.2e-06   25.0   0.3   1   1   5.6e-08   6.8e-06   24.4   0.3    69   156   275   366   263   385 0.76 | transcript=PVX_123715.1 | gene=PVX_123715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1689797-1691089(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 7934at5820           -            173   7.5e-06   24.2   0.5   1   3      0.49        59    1.8   0.0    77   120   199   243   191   250 0.81 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 7934at5820           -            173   7.5e-06   24.2   0.5   2   3      0.18        21    3.2   0.0   140   158   342   360   322   366 0.84 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 7934at5820           -            173   7.5e-06   24.2   0.5   3   3   1.3e-05    0.0015   16.7   1.5    14    74   345   404   341   432 0.81 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 7934at5820           -            173   1.3e-05   23.5   0.2   1   2    0.0023      0.27    9.4   0.1    76   112    98   138    56   146 0.73 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 7934at5820           -            173   1.3e-05   23.5   0.2   2   2   0.00058     0.069   11.3   0.0    39    71   211   243   204   253 0.90 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079930.1-p1      -            329 7934at5820           -            173   2.9e-05   22.3   3.9   1   1   4.7e-07   5.6e-05   21.4   3.9     7   156    28   180    19   193 0.84 | transcript=PVX_079930.1 | gene=PVX_079930 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr10:224509-225498(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115125.1-p1      -            887 7934at5820           -            173     5e-05   21.5   0.6   1   2       1.2   1.4e+02    0.5   0.0    34    71   149   185   122   194 0.63 | transcript=PVX_115125.1 | gene=PVX_115125 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=Pv_Sal1_chr11:296363-299239(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115125.1-p1      -            887 7934at5820           -            173     5e-05   21.5   0.6   2   2   5.3e-06   0.00063   17.9   0.1    12   112   244   340   234   354 0.77 | transcript=PVX_115125.1 | gene=PVX_115125 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=Pv_Sal1_chr11:296363-299239(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 7934at5820           -            173   6.6e-05   21.1   0.3   1   2   0.00068     0.082   11.1   0.1    63   116   180   238   168   276 0.79 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 7934at5820           -            173   6.6e-05   21.1   0.3   2   2    0.0084         1    7.5   0.1    59   115   282   340   262   350 0.71 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 7934at5820           -            173   6.9e-05   21.1   3.1   1   2   2.8e-05    0.0034   15.6   0.3    40   123    10    98     7   125 0.82 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 7934at5820           -            173   6.9e-05   21.1   3.1   2   2     0.028       3.4    5.8   0.2    79   154   186   262   167   281 0.80 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 7934at5820           -            173   0.00011   20.4   2.5   1   2   1.1e-05    0.0013   17.0   0.8    66   168   128   233    80   239 0.73 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 7934at5820           -            173   0.00011   20.4   2.5   2   2      0.28        34    2.6   0.0    40    82   294   338   287   366 0.70 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 7934at5820           -            173   0.00012   20.2   3.7   1   2      0.35        42    2.3   0.2    59   111   210   266   189   281 0.52 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 7934at5820           -            173   0.00012   20.2   3.7   2   2   5.7e-06   0.00069   17.8   0.4    35   113   342   422   318   438 0.84 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
