#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000555.1-p1      -            529 5036at5820           -            465         0 1045.8  21.8   1   1         0         0 1045.0  21.8     1   465    47   529    47   529 0.99 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 5036at5820           -            465   5.5e-13   46.5  10.5   2   2   8.3e-11   7.3e-09   32.9   3.9   367   460    64   163    61   167 0.83 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 5036at5820           -            465     2e-12   44.7   2.0   1   2   2.3e-14     2e-12   44.7   2.0    18   163  1109  1255  1096  1259 0.86 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 5036at5820           -            465     2e-12   44.7   2.0   2   2       4.3   3.7e+02   -2.4   0.0   187   209  1512  1537  1503  1542 0.83 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 5036at5820           -            465   2.5e-12   44.3   0.6   1   3    0.0068       0.6    6.8   1.1    25    89   606   669   595   674 0.84 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 5036at5820           -            465   2.5e-12   44.3   0.6   2   3     1e-10   8.9e-09   32.6   0.0   126   222   859   969   825   982 0.80 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 5036at5820           -            465   2.5e-12   44.3   0.6   3   3      0.98        86   -0.3   0.0   240   269  1027  1056   996  1063 0.83 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 5036at5820           -            465     6e-12   43.1   4.1   1   2   6.8e-14     6e-12   43.1   4.1    22   176    93   247    84   271 0.82 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 5036at5820           -            465     6e-12   43.1   4.1   2   2      0.29        25    1.5   1.0    84   106   295   319   259   336 0.70 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087765.1-p1      -           1251 5036at5820           -            465   6.1e-12   43.1   8.8   1   1   1.6e-13   1.4e-11   41.8   8.8    21   176   729   881   714   889 0.90 | transcript=PVX_087765.1 | gene=PVX_087765 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr01:131139-134894(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 5036at5820           -            465   7.9e-12   42.7   5.2   1   2   8.3e-10   7.2e-08   29.6   3.3    47   156   235   343   224   353 0.90 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 5036at5820           -            465   7.9e-12   42.7   5.2   2   2   0.00012     0.011   12.6   0.0   163   270   394   511   372   516 0.75 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 5036at5820           -            465   8.7e-12   42.6   6.4   1   3     0.013       1.1    5.9   0.9    19    97   792   874   773   954 0.81 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 5036at5820           -            465   8.7e-12   42.6   6.4   2   3   4.2e-10   3.7e-08   30.6   0.2   122   201  1163  1252  1150  1270 0.74 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 5036at5820           -            465   8.7e-12   42.6   6.4   3   3    0.0074      0.65    6.7   0.0   237   270  1336  1369  1323  1376 0.89 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 5036at5820           -            465   9.4e-12   42.5   9.3   1   2   8.3e-06   0.00073   16.4   0.5   403   460    39   101    33   106 0.75 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 5036at5820           -            465   9.4e-12   42.5   9.3   2   2   6.5e-12   5.7e-10   36.6   2.9   368   459    76   173    70   179 0.82 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 5036at5820           -            465   1.3e-11   42.0   0.1   1   1   2.2e-13     2e-11   41.4   0.1    24   182   162   331   151   366 0.81 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 5036at5820           -            465   2.4e-11   41.1   0.9   1   1   4.1e-13   3.6e-11   40.5   0.9    17   208   450   642   441   651 0.82 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 5036at5820           -            465   3.9e-11   40.4   0.0   1   2   1.7e-12   1.5e-10   38.5   0.0    16   180    68   228    56   253 0.80 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 5036at5820           -            465   3.9e-11   40.4   0.0   2   2       2.5   2.2e+02   -1.6   0.0   239   273   309   343   285   349 0.77 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 5036at5820           -            465   5.8e-11   39.9   5.5   1   1   2.2e-12     2e-10   38.1   5.5    17   164   548   697   540   767 0.78 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 5036at5820           -            465   2.2e-10   38.0   0.1   1   2       1.6   1.4e+02   -0.9   0.1     3    30   475   502   473   507 0.85 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 5036at5820           -            465   2.2e-10   38.0   0.1   2   2   1.1e-11   9.8e-10   35.8   0.0   126   207  1563  1646  1549  1733 0.72 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 5036at5820           -            465   3.9e-09   33.8   0.9   1   1   9.9e-11   8.7e-09   32.7   0.9    22   206   116   306   103   316 0.72 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 5036at5820           -            465   5.6e-09   33.3   0.9   1   2       7.3   6.4e+02   -3.2   0.0    48    92    68   115    62   122 0.64 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 5036at5820           -            465   5.6e-09   33.3   0.9   2   2     1e-10   8.8e-09   32.7   0.2   119   181  3099  3158  3072  3206 0.78 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 5036at5820           -            465   8.1e-09   32.8   0.3   1   1   1.6e-10   1.4e-08   32.0   0.3    36   201   777   939   751   949 0.86 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 5036at5820           -            465   2.8e-08   31.0   3.1   1   2   3.6e-09   3.2e-07   27.5   1.0    83   161   919   997   914  1010 0.87 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 5036at5820           -            465   2.8e-08   31.0   3.1   2   2      0.14        12    2.5   0.0   166   209  1085  1132  1076  1147 0.80 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 5036at5820           -            465     4e-07   27.2   2.2   1   1   7.5e-08   6.6e-06   23.2   2.2   317   461    24   164    21   167 0.69 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 5036at5820           -            465   3.7e-06   24.0   0.6   1   1   8.9e-08   7.8e-06   22.9   0.6    30   221  2955  3145  2943  3162 0.72 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 5036at5820           -            465   6.3e-06   23.3   6.8   1   1   1.6e-06   0.00014   18.8   6.8   319   461    27   166     9   169 0.74 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 5036at5820           -            465   1.8e-05   21.8   0.0   1   2   0.00014     0.013   12.4   0.0   128   158   535   565   520   589 0.80 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 5036at5820           -            465   1.8e-05   21.8   0.0   2   2    0.0068       0.6    6.8   0.0   241   269   866   894   862   896 0.93 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 5036at5820           -            465   0.00023   18.1   0.9   1   1   6.4e-06   0.00056   16.8   0.9    21   206    24   232     9   239 0.59 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 5036at5820           -            465    0.0013   15.7   0.7   1   1   1.4e-05    0.0013   15.7   0.7   122   165   384   427   370   464 0.80 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5036at5820           -            465    0.0024   14.7  10.0   1   3    0.0026      0.22    8.2   0.9    22    95    32    98    23   115 0.74 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5036at5820           -            465    0.0024   14.7  10.0   2   3    0.0018      0.16    8.7   0.1   118   158   229   270   205   276 0.78 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5036at5820           -            465    0.0024   14.7  10.0   3   3      0.17        15    2.3   0.1   165   202   572   609   557   626 0.86 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095165.1-p1      -            327 5036at5820           -            465    0.0028   14.5   0.5   1   1   5.3e-05    0.0046   13.8   0.5    85   167    81   164    59   178 0.89 | transcript=PVX_095165.1 | gene=PVX_095165 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr08:854649-855966(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5036at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5036at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5036at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:09 2026
# [ok]
