#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084705.1-p1      -            854 2259at5820           -            765         0 1614.0  22.8   1   1         0         0 1611.8  22.8     1   761    13   836    13   839 0.96 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 2259at5820           -            765   8.2e-12   42.5   0.4   1   1   1.3e-13   1.3e-11   41.8   0.4   539   676   430   580   371   598 0.69 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 2259at5820           -            765   3.1e-11   40.6   0.5   1   2   9.1e-06   0.00086   16.0   0.2   549   618   922  1001   911  1016 0.70 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 2259at5820           -            765   3.1e-11   40.6   0.5   2   2   8.9e-08   8.5e-06   22.6   0.0   612   673  1081  1145  1072  1166 0.83 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 2259at5820           -            765   6.6e-11   39.5   2.2   1   1   1.1e-11     1e-09   35.5   2.1   536   680    65   236    54   248 0.72 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124045.1-p1      -            998 2259at5820           -            765   1.1e-10   38.7   1.5   1   1   3.5e-12   3.4e-10   37.2   1.5   499   676    12   248     4   286 0.67 | transcript=PVX_124045.1 | gene=PVX_124045 | organism=Plasmodium_vivax_Sal-1 | gene_product=NIMA-related protein kinase (Pfnek-1), putative | transcript_product=NIMA-related protein kinase (Pfnek-1), putative | location=Pv_Sal1_chr14:1997153-2000322(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 2259at5820           -            765   2.6e-10   37.5   0.2   1   1   3.4e-12   3.3e-10   37.2   0.2   545   685   160   307   140   342 0.78 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 2259at5820           -            765     1e-09   35.5   0.0   1   1   1.6e-11   1.5e-09   35.0   0.0   572   672    98   214    77   245 0.80 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 2259at5820           -            765   2.7e-09   34.2   4.8   1   3         6   5.8e+02   -3.3   0.1   506   552    40    95    27   123 0.64 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 2259at5820           -            765   2.7e-09   34.2   4.8   2   3   1.8e-05    0.0017   14.9   0.2   575   633   233   291   214   305 0.74 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 2259at5820           -            765   2.7e-09   34.2   4.8   3   3   2.7e-07   2.6e-05   21.0   0.1   614   685   571   649   558   665 0.79 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 2259at5820           -            765   3.4e-09   33.8   0.0   1   1   6.2e-11   5.9e-09   33.0   0.0   590   693  1573  1681  1552  1699 0.84 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 2259at5820           -            765   1.8e-08   31.4   0.1   1   2   1.7e-07   1.6e-05   21.7   0.1   584   625  3111  3152  3096  3165 0.91 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 2259at5820           -            765   1.8e-08   31.4   0.1   2   2    0.0038      0.36    7.3   0.0   632   664  3208  3240  3195  3246 0.85 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101265.1-p1      -            730 2259at5820           -            765   2.6e-07   27.6   0.5   1   1   1.6e-08   1.5e-06   25.1   0.5   584   716   132   285    82   305 0.67 | transcript=PVX_101265.1 | gene=PVX_101265 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin g-associated kinase, putative | transcript_product=cyclin g-associated kinase, putative | location=Pv_Sal1_chr14:2759960-2762152(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 2259at5820           -            765   4.1e-07   26.9   3.3   1   2   2.1e-05     0.002   14.7   1.2   517   610   242   343   218   351 0.73 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 2259at5820           -            765   4.1e-07   26.9   3.3   2   2   0.00014     0.013   12.1   0.0   631   671   419   459   389   471 0.79 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 2259at5820           -            765     6e-07   26.4   0.3   1   2      0.19        18    1.7   0.0   585   610   187   213   175   216 0.85 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 2259at5820           -            765     6e-07   26.4   0.3   2   2   9.3e-08   8.9e-06   22.5   0.0   616   686   700   773   673   797 0.74 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 2259at5820           -            765   7.2e-07   26.1   0.0   1   2    0.0006     0.058    9.9   0.0   577   614  1215  1252  1169  1293 0.75 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 2259at5820           -            765   7.2e-07   26.1   0.0   2   2   3.7e-05    0.0035   13.9   0.0   629   686  1509  1565  1485  1600 0.82 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 2259at5820           -            765   7.7e-06   22.7   0.1   1   2     0.017       1.6    5.2   0.1   586   626   394   436   377   444 0.74 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 2259at5820           -            765   7.7e-06   22.7   0.1   2   2   1.1e-05    0.0011   15.7   0.0   608   677   445   519   430   530 0.82 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 2259at5820           -            765   1.1e-05   22.2   0.1   1   1   2.4e-07   2.2e-05   21.2   0.1   532   688  2997  3195  2951  3204 0.64 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 2259at5820           -            765   1.4e-05   21.8   0.0   1   1   4.1e-07   3.9e-05   20.4   0.0   543   669   138   274    46   293 0.71 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 2259at5820           -            765   0.00034   17.3   0.2   1   2   1.4e-05    0.0013   15.4   0.0   552   623   165   240   131   271 0.73 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 2259at5820           -            765   0.00034   17.3   0.2   2   2       1.1   1.1e+02   -0.9   0.1   647   673   479   506   473   519 0.78 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2259at5820           -            765      0.02   11.5   0.1   1   2     0.049       4.7    3.6   0.0   585   629   915   960   898   965 0.86 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2259at5820           -            765      0.02   11.5   0.1   2   2     0.016       1.5    5.2   0.0   623   671  1050  1098  1038  1102 0.82 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2259at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2259at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2259at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:58 2026
# [ok]
