#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080690.1-p1      -            646 4216at5820           -            524         0 1010.3  75.7   1   3     0.012         2    5.3   0.4     1    19    25    43    25    48 0.82 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 4216at5820           -            524   6.3e-10   36.6  25.4   3   3   2.5e-06   0.00041   17.4   6.7   338   483   302   461   288   488 0.70 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 4216at5820           -            524   9.9e-10   36.0   4.0   1   1   6.1e-12   9.9e-10   36.0   4.0   303   437   289   427   274   450 0.83 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 4216at5820           -            524     7e-09   33.2  17.6   1   3   1.7e-06   0.00027   18.0   2.6   417   494    61   141    47   155 0.86 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 4216at5820           -            524     7e-09   33.2  17.6   2   3    0.0002     0.032   11.2   0.2   433   486   280   335   257   350 0.80 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 4216at5820           -            524     7e-09   33.2  17.6   3   3   0.00014     0.022   11.7   2.3   302   374   424   495   406   514 0.72 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083500.1-p1      -            466 4216at5820           -            524   7.2e-09   33.1   2.1   1   1     1e-10   1.7e-08   31.9   2.1   246   409    66   232    20   259 0.72 | transcript=PVX_083500.1 | gene=PVX_083500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:71032-73869(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 4216at5820           -            524   2.3e-07   28.1   2.2   1   3   1.4e-09   2.3e-07   28.1   2.2   287   412     3   140     1   157 0.80 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 4216at5820           -            524   2.3e-07   28.1   2.2   2   3      0.14        23    1.8   0.2   269   323   197   261   191   270 0.76 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 4216at5820           -            524   2.3e-07   28.1   2.2   3   3       1.9   3.2e+02   -2.0   0.0   232   280   269   316   263   333 0.77 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 4216at5820           -            524   5.4e-07   27.0  13.5   1   5      0.52        84   -0.1   0.0   348   372   173   197   121   236 0.64 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 4216at5820           -            524   5.4e-07   27.0  13.5   2   5   4.8e-07   7.8e-05   19.8   0.0   266   332   421   487   393   494 0.76 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 4216at5820           -            524   5.4e-07   27.0  13.5   3   5   0.00099      0.16    8.9   0.6   400   452   543   601   525   606 0.73 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 4216at5820           -            524   5.4e-07   27.0  13.5   4   5     0.044       7.2    3.4   0.1   299   334   616   652   605   658 0.85 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 4216at5820           -            524   5.4e-07   27.0  13.5   5   5       5.3   8.6e+02   -3.4   0.4   424   454   729   759   723   764 0.86 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 4216at5820           -            524   8.4e-07   26.3   0.4   1   2       1.2     2e+02   -1.3   0.0   342   373   277   308   271   323 0.78 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 4216at5820           -            524   8.4e-07   26.3   0.4   2   2   1.3e-08   2.2e-06   25.0   0.1   251   331   324   407   316   435 0.80 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113565.1-p1      -            361 4216at5820           -            524   5.7e-06   23.6   0.7   1   1   5.1e-08   8.3e-06   23.0   0.7   248   351   186   291   167   312 0.84 | transcript=PVX_113565.1 | gene=PVX_113565 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr11:1697877-1700429(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115195.1-p1      -            378 4216at5820           -            524    0.0002   18.5   2.4   1   2   1.2e-06    0.0002   18.5   2.4   376   466    16   107    11   132 0.79 | transcript=PVX_115195.1 | gene=PVX_115195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:237519-238655(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115195.1-p1      -            378 4216at5820           -            524    0.0002   18.5   2.4   2   2     0.067        11    2.8   1.4   337   410   282   358   226   363 0.74 | transcript=PVX_115195.1 | gene=PVX_115195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:237519-238655(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 4216at5820           -            524   0.00022   18.3   1.0   1   3   0.00041     0.066   10.1   0.1   330   411    58   144    29   172 0.63 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 4216at5820           -            524   0.00022   18.3   1.0   2   3       2.4   3.9e+02   -2.3   0.1   311   367   188   246   182   250 0.51 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 4216at5820           -            524   0.00022   18.3   1.0   3   3     0.006      0.97    6.3   0.0   333   370   322   360   313   362 0.82 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_246295-t26_1-p1  -            298 4216at5820           -            524    0.0003   17.9   0.1   1   2       1.2     2e+02   -1.3   4.3   156   191    96   132    84   158 0.70 | transcript=PVX_246295-t26_1 | gene=PVX_246295 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001480:62-955(+) | protein_length=298 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_246295-t26_1-p1  -            298 4216at5820           -            524    0.0003   17.9   0.1   2   2   1.9e-06    0.0003   17.9   0.1   300   369   159   228   144   267 0.87 | transcript=PVX_246295-t26_1 | gene=PVX_246295 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001480:62-955(+) | protein_length=298 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 4216at5820           -            524   0.00047   17.3   3.7   1   3       1.7   2.7e+02   -1.8   0.0   386   409   116   139    71   144 0.73 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 4216at5820           -            524   0.00047   17.3   3.7   2   3    0.0003     0.049   10.6   0.6   287   333   205   251   194   269 0.84 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 4216at5820           -            524   0.00047   17.3   3.7   3   3    0.0061      0.99    6.3   0.0   458   516   323   380   311   405 0.53 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 4216at5820           -            524    0.0065   13.5   0.0   1   2       0.9   1.5e+02   -0.9   0.0   249   284   135   170   128   182 0.86 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 4216at5820           -            524    0.0065   13.5   0.0   2   2     4e-05    0.0065   13.5   0.0   288   373  1708  1793  1701  1832 0.79 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124165.1-p1      -            445 4216at5820           -            524     0.012   12.6   6.3   1   2   3.8e-05    0.0062   13.5   1.0   267   383    88   216    59   229 0.70 | transcript=PVX_124165.1 | gene=PVX_124165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2103618-2104955(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124165.1-p1      -            445 4216at5820           -            524     0.012   12.6   6.3   2   2      0.79   1.3e+02   -0.7   0.3   417   449   309   343   300   358 0.58 | transcript=PVX_124165.1 | gene=PVX_124165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2103618-2104955(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002730.1-p1      -            206 4216at5820           -            524       6.3    3.6  11.0   1   2      0.01       1.7    5.5   4.9   162   243     3    89     1   102 0.68 | transcript=PVX_002730.1 | gene=PVX_002730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:223540-224360(+) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002730.1-p1      -            206 4216at5820           -            524       6.3    3.6  11.0   2   2      0.13        21    1.9   0.3    36    78   117   162   106   185 0.79 | transcript=PVX_002730.1 | gene=PVX_002730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:223540-224360(+) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4216at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4216at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4216at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:47 2026
# [ok]
