#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101240.1-p1      -            755 5446at5820           -            453  2.2e-239  793.2  35.4   1   3     2e-11   1.9e-09   35.2  11.2     1    55     1    63     1   145 0.73 | transcript=PVX_101240.1 | gene=PVX_101240 | organism=Plasmodium_vivax_Sal-1 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:2741352-2743752(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 5446at5820           -            453     6e-17   60.0   5.0   1   2   6.3e-19     6e-17   60.0   5.0   133   336    39   237    19   270 0.82 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 5446at5820           -            453     6e-17   60.0   5.0   2   2       2.3   2.2e+02   -1.2   0.0   359   397   298   331   287   334 0.80 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 5446at5820           -            453   7.6e-17   59.6   5.2   1   2   8.3e-19   7.9e-17   59.6   3.9   130   340   112   327    81   356 0.74 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 5446at5820           -            453   7.6e-17   59.6   5.2   2   2       4.5   4.3e+02   -2.2   0.0   338   379   352   395   342   405 0.76 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 5446at5820           -            453   7.8e-17   59.6   4.8   1   2   8.1e-19   7.8e-17   59.6   4.8   133   336    39   237    19   269 0.82 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 5446at5820           -            453   7.8e-17   59.6   4.8   2   2       2.3   2.2e+02   -1.2   0.0   359   397   298   331   287   336 0.81 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 5446at5820           -            453   1.8e-16   58.4   0.6   1   1   3.8e-17   3.7e-15   54.1   0.6   235   357   147   271     3   332 0.71 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 5446at5820           -            453     4e-16   57.3  11.8   1   2   2.3e-16   2.2e-14   51.5   8.5   136   338   266   473   258   516 0.87 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 5446at5820           -            453     4e-16   57.3  11.8   2   2     0.012       1.2    6.3   0.0   357   396   537   571   528   577 0.84 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 5446at5820           -            453   1.3e-15   55.5   0.6   1   2   1.7e-12   1.6e-10   38.8   0.8   137   269  1116  1249  1005  1258 0.83 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 5446at5820           -            453   1.3e-15   55.5   0.6   2   2   3.8e-08   3.6e-06   24.5   0.0   291   378  1507  1599  1490  1608 0.76 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 5446at5820           -            453   5.3e-15   53.6  13.5   1   1   5.5e-17   5.3e-15   53.6  13.5    11   348   238   588   232   613 0.77 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 5446at5820           -            453   4.1e-14   50.6   9.3   1   3   1.7e-14   1.7e-12   45.3   3.6   130   289   165   327   150   335 0.80 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 5446at5820           -            453   4.1e-14   50.6   9.3   2   3     0.019       1.8    5.6   0.0   294   330   357   394   346   411 0.78 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 5446at5820           -            453   4.1e-14   50.6   9.3   3   3      0.48        46    1.0   0.2   357   412   480   533   421   552 0.78 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 5446at5820           -            453   5.4e-13   46.9   0.1   1   2   0.00053     0.051   10.8   2.5   121   201   588   669   564   676 0.75 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 5446at5820           -            453   5.4e-13   46.9   0.1   2   2   5.7e-15   5.4e-13   46.9   0.1   243   347   864   970   851  1007 0.82 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095165.1-p1      -            327 5446at5820           -            453   5.4e-13   46.9   2.9   1   1   7.3e-15   6.9e-13   46.6   2.4   190   375    73   266    32   282 0.82 | transcript=PVX_095165.1 | gene=PVX_095165 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr08:854649-855966(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 5446at5820           -            453   2.2e-12   44.9   0.4   1   1   3.6e-14   3.4e-12   44.3   0.4   118   394   139   443    87   452 0.75 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 5446at5820           -            453   3.1e-12   44.4   2.2   1   1   4.5e-14   4.3e-12   44.0   2.2   125   330    16   233     6   248 0.77 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5446at5820           -            453   8.5e-12   43.0  17.7   1   4    0.0016      0.16    9.2   3.3   136   242    34   139     7   141 0.68 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5446at5820           -            453   8.5e-12   43.0  17.7   2   4   8.1e-07   7.7e-05   20.1   0.2   217   268   218   268   206   276 0.83 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5446at5820           -            453   8.5e-12   43.0  17.7   3   4   0.00032      0.03   11.5   0.0   271   348   570   648   562   653 0.80 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5446at5820           -            453   8.5e-12   43.0  17.7   4   4   0.00066     0.063   10.5   0.5   333   379   659   707   656   732 0.75 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 5446at5820           -            453   5.4e-11   40.4   0.1   1   1   5.6e-13   5.4e-11   40.4   0.1   243   335   356   450   345   491 0.89 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 5446at5820           -            453   7.8e-11   39.8   0.5   1   2   1.6e-09   1.5e-07   29.0   0.4   209   283  3079  3152  3073  3166 0.74 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 5446at5820           -            453   7.8e-11   39.8   0.5   2   2     0.003      0.28    8.3   0.0   289   377  3200  3288  3187  3294 0.71 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 5446at5820           -            453   9.4e-11   39.6   1.1   1   1   1.7e-12   1.6e-10   38.8   1.1   136   355     8   236     2   247 0.73 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 5446at5820           -            453   1.8e-10   38.7   0.5   1   2   0.00033     0.031   11.5   0.2   197   273   921   998   912  1020 0.79 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 5446at5820           -            453   1.8e-10   38.7   0.5   2   2   5.4e-08   5.2e-06   23.9   0.0   271   339  1082  1147  1075  1158 0.86 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 5446at5820           -            453   2.3e-10   38.3   9.9   1   1     4e-12   3.8e-10   37.6   9.8   142   339    15   230     4   268 0.78 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 5446at5820           -            453   3.3e-10   37.8   0.5   1   3   8.1e-10   7.7e-08   29.9   0.1   204   297   152   256   102   268 0.73 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 5446at5820           -            453   3.3e-10   37.8   0.5   2   3       2.3   2.2e+02   -1.2   0.0   312   339   480   507   475   518 0.82 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 5446at5820           -            453   3.3e-10   37.8   0.5   3   3     0.055       5.3    4.1   0.0   357   402   561   601   536   625 0.79 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 5446at5820           -            453   8.2e-09   33.2   0.1   1   2   4.5e-05    0.0043   14.3   0.1   200   283  1048  1136  1039  1150 0.78 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 5446at5820           -            453   8.2e-09   33.2   0.1   2   2   1.4e-05    0.0014   16.0   0.0   304   378  1226  1302  1212  1309 0.78 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 5446at5820           -            453   1.6e-08   32.2  12.3   1   4   3.5e-05    0.0033   14.7   0.1   239   270   183   215   166   232 0.84 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 5446at5820           -            453   1.6e-08   32.2  12.3   2   4       5.2     5e+02   -2.4   3.3    45    83   284   324   271   375 0.66 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 5446at5820           -            453   1.6e-08   32.2  12.3   3   4   1.4e-07   1.3e-05   22.6   0.0   296   339   719   762   692   772 0.88 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 5446at5820           -            453   1.6e-08   32.2  12.3   4   4       4.7   4.5e+02   -2.2   0.2    46   133   801   892   782   901 0.49 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 5446at5820           -            453   1.3e-07   29.2   0.2   1   1   2.4e-09   2.3e-07   28.4   0.2   253   337  3077  3174  2947  3199 0.71 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091665.1-p1      -            106 5446at5820           -            453     0.015   12.5   2.5   1   1   0.00018     0.017   12.4   2.5    70   129    43   103    31   105 0.84 | transcript=PVX_091665.1 | gene=PVX_091665 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock factor-binding protein 1, putative | transcript_product=heat shock factor-binding protein 1, putative | location=Pv_Sal1_chr09:705151-705471(+) | protein_length=106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5446at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5446at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5446at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:49 2026
# [ok]
