#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123535.1-p1      -           1127 3505at5820           -            693         0 1197.8 116.0   1   7   7.1e-57   1.3e-54  184.0  15.3     1   104    39   142    39   159 0.95 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 3505at5820           -            693     0.012   12.3   0.0   1   2    0.0063       1.2    5.7   0.0   365   419     6    63     1    81 0.67 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 3505at5820           -            693     0.012   12.3   0.0   2   2     0.016         3    4.3   0.1   500   547   140   187   132   194 0.84 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092210.1-p1      -            962 3505at5820           -            693      0.03   10.9   0.0   1   1   0.00023     0.043   10.4   0.0   560   623   740   811   725   820 0.85 | transcript=PVX_092210.1 | gene=PVX_092210 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1178329-1181217(-) | protein_length=962 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3505at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:06 2026
# [ok]
