#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082565.1-p1      -            489 6477at5820           -            409  5.5e-230  761.5   1.7   1   1  1.8e-231  2.6e-229  759.3   1.7    12   409    58   477    54   477 0.96 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 6477at5820           -            409   5.7e-18   63.2   2.7   1   2   5.7e-15   8.1e-13   46.2   1.5    16   204   235   442   225   459 0.76 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 6477at5820           -            409   5.7e-18   63.2   2.7   2   2   9.7e-06    0.0014   15.9   0.0   276   355   842   924   836   958 0.86 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 6477at5820           -            409   1.1e-17   62.3   2.2   1   3    0.0087       1.2    6.1   0.0     8    73   138   203   133   216 0.89 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 6477at5820           -            409   1.1e-17   62.3   2.2   2   3       1.5   2.1e+02   -1.2   0.0   160   189   530   560   486   569 0.77 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 6477at5820           -            409   1.1e-17   62.3   2.2   3   3   2.6e-17   3.6e-15   54.0   0.4   253   345   897   988   887   993 0.92 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 6477at5820           -            409   2.2e-17   61.3  12.0   1   4     0.011       1.5    5.8   0.0    29    66    91   125    72   139 0.80 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 6477at5820           -            409   2.2e-17   61.3  12.0   2   4       1.6   2.3e+02   -1.3   0.0    75   103   320   348   312   367 0.80 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 6477at5820           -            409   2.2e-17   61.3  12.0   3   4   1.5e-07   2.2e-05   21.8   0.0   125   192   429   497   420   508 0.84 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 6477at5820           -            409   2.2e-17   61.3  12.0   4   4   1.2e-10   1.6e-08   32.1   8.0   255   401   764   912   756   923 0.73 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000990.1-p1      -            548 6477at5820           -            409   3.1e-17   60.8  19.6   1   1   8.3e-19   1.2e-16   58.9  19.6    57   388   143   509   131   533 0.66 | transcript=PVX_000990.1 | gene=PVX_000990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase protein, putative | transcript_product=ATP-dependent RNA helicase protein, putative | location=Pv_Sal1_chr03:130416-132387(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6477at5820           -            409     7e-12   43.2   0.7   1   4      0.77   1.1e+02   -0.3   0.0     9    47   481   520   477   536 0.83 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6477at5820           -            409     7e-12   43.2   0.7   2   4      0.13        19    2.2   0.0    57    80   621   644   614   646 0.89 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6477at5820           -            409     7e-12   43.2   0.7   3   4      0.33        47    0.9   0.0   131   171   896   934   889   960 0.80 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 6477at5820           -            409     7e-12   43.2   0.7   4   4   5.1e-11   7.3e-09   33.2   1.1   289   380  1189  1279  1137  1297 0.79 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 6477at5820           -            409     9e-10   36.2   2.3   1   3      0.71     1e+02   -0.2   0.1    31    68    39    76    12   102 0.77 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 6477at5820           -            409     9e-10   36.2   2.3   2   3         1   1.5e+02   -0.7   0.2   267   306    95   139    83   147 0.59 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 6477at5820           -            409     9e-10   36.2   2.3   3   3   6.4e-12     9e-10   36.2   2.3   241   367   370   496   344   529 0.83 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 6477at5820           -            409   1.8e-09   35.2   1.2   1   3       0.2        29    1.6   0.0    55    82    69    96    53   121 0.77 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 6477at5820           -            409   1.8e-09   35.2   1.2   2   3   2.2e-10   3.1e-08   31.2   0.7   252   366   282   395   271   418 0.89 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 6477at5820           -            409   1.8e-09   35.2   1.2   3   3       9.6   1.4e+03   -3.9   0.0   287   320   771   805   758   812 0.70 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 6477at5820           -            409   1.1e-06   26.1   2.2   1   4     0.014         2    5.4   0.0    29    73   126   171   116   180 0.83 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 6477at5820           -            409   1.1e-06   26.1   2.2   2   4       9.2   1.3e+03   -3.8   0.0    84    99   254   269   250   277 0.83 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 6477at5820           -            409   1.1e-06   26.1   2.2   3   4     0.012       1.6    5.7   0.1   124   198   340   416   323   438 0.79 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 6477at5820           -            409   1.1e-06   26.1   2.2   4   4   8.9e-05     0.013   12.7   0.1   302   366   661   724   561   739 0.88 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6477at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6477at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6477at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:08 2026
# [ok]
