#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079950.1-p1      -            288 9439at5820           -            250  1.6e-145  481.6   1.3   1   1  2.3e-147  1.9e-145  481.3   1.3     1   246     7   267     7   270 0.96 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 9439at5820           -            250   1.1e-13   49.7   0.6   2   2     0.015       1.2    7.0   0.0   159   202  3208  3248  3198  3298 0.67 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 9439at5820           -            250   2.5e-13   48.5   6.3   1   3         1        84    1.0   0.2   133   186    40    95     9   119 0.65 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 9439at5820           -            250   2.5e-13   48.5   6.3   2   3     1e-06   8.3e-05   20.6   1.6    47   136   261   347   238   385 0.83 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 9439at5820           -            250   2.5e-13   48.5   6.3   3   3   9.8e-09   8.1e-07   27.2   0.0   138   198   397   459   389   465 0.88 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 9439at5820           -            250   2.7e-13   48.4   1.0   1   2       5.2   4.3e+02   -1.4   0.2    12    86   189   264   183   272 0.83 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 9439at5820           -            250   2.7e-13   48.4   1.0   2   2   1.4e-14   1.2e-12   46.4   0.0   104   197   353   449   341   457 0.90 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 9439at5820           -            250     6e-13   47.3   2.2   1   1   7.2e-15     6e-13   47.3   2.2    22   201   399   580   371   589 0.87 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 9439at5820           -            250   4.5e-12   44.4   2.9   1   2   9.7e-07     8e-05   20.7   0.6    57   135   920   995   914  1016 0.75 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 9439at5820           -            250   4.5e-12   44.4   2.9   2   2   1.7e-07   1.4e-05   23.2   0.1   130   199  1076  1144  1072  1159 0.84 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 9439at5820           -            250   1.9e-11   42.4   8.6   1   3   4.2e-05    0.0035   15.3   0.7     5    70    34    99    31   123 0.80 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 9439at5820           -            250   1.9e-11   42.4   8.6   2   3   4.1e-06   0.00034   18.6   0.1    82   132   222   268   203   284 0.82 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 9439at5820           -            250   1.9e-11   42.4   8.6   3   3   0.00041     0.034   12.1   0.2   138   198   573   634   558   651 0.79 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 9439at5820           -            250   5.5e-11   40.9   1.2   1   1   1.2e-12     1e-10   40.0   0.4    92   202  1157  1282  1128  1310 0.75 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 9439at5820           -            250   1.4e-10   39.6   0.6   1   1   3.2e-12   2.7e-10   38.6   0.6    12   204  2956  3178  2951  3230 0.70 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095165.1-p1      -            327 9439at5820           -            250   1.8e-10   39.2   0.1   1   1   3.1e-12   2.6e-10   38.7   0.1    69   223    92   248    73   274 0.82 | transcript=PVX_095165.1 | gene=PVX_095165 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr08:854649-855966(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 9439at5820           -            250   5.6e-10   37.6   3.8   1   3      0.16        13    3.6   0.1     5    93  1821  1918  1817  1953 0.78 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 9439at5820           -            250   5.6e-10   37.6   3.8   2   3   1.7e-09   1.4e-07   29.7   0.3   105   158  2309  2363  2260  2387 0.83 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 9439at5820           -            250   5.6e-10   37.6   3.8   3   3      0.31        25    2.7   0.1   152   193  2386  2425  2361  2432 0.78 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 9439at5820           -            250   6.6e-10   37.3   2.6   1   2   6.3e-06   0.00052   18.0   1.5     5   134   555   691   552   699 0.68 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 9439at5820           -            250   6.6e-10   37.3   2.6   2   2   6.2e-06   0.00051   18.0   0.0   126   199   708   779   694   807 0.79 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099740.1-p1      -            950 9439at5820           -            250   9.3e-10   36.8   0.4   1   2       4.6   3.8e+02   -1.2   0.2    30    50   364   384   354   450 0.65 | transcript=PVX_099740.1 | gene=PVX_099740 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:1008544-1014543(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099740.1-p1      -            950 9439at5820           -            250   9.3e-10   36.8   0.4   2   2   1.1e-11   9.3e-10   36.8   0.4   100   195   777   877   690   884 0.78 | transcript=PVX_099740.1 | gene=PVX_099740 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:1008544-1014543(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 9439at5820           -            250   9.9e-10   36.8   0.2   1   1     2e-11   1.7e-09   36.0   0.2    56   200   229   384   181   390 0.76 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087765.1-p1      -           1251 9439at5820           -            250   5.4e-09   34.3   7.9   1   2   4.8e-08   3.9e-06   25.0   4.0    27   146   764   879   753   885 0.75 | transcript=PVX_087765.1 | gene=PVX_087765 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr01:131139-134894(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087765.1-p1      -           1251 9439at5820           -            250   5.4e-09   34.3   7.9   2   2    0.0013      0.11   10.4   0.1   157   196  1094  1132  1080  1202 0.88 | transcript=PVX_087765.1 | gene=PVX_087765 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr01:131139-134894(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 9439at5820           -            250   1.4e-08   32.9   0.0   1   2   0.00015     0.012   13.5   0.0   100   148  1089  1137  1076  1154 0.75 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 9439at5820           -            250   1.4e-08   32.9   0.0   2   2   1.6e-05    0.0013   16.7   0.0   167   245  1226  1310  1216  1314 0.77 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 9439at5820           -            250   5.2e-08   31.1   0.1   1   1   1.2e-09   9.7e-08   30.2   0.1     6   194    77   272    73   308 0.73 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 9439at5820           -            250   2.9e-06   25.4   0.1   1   2    0.0017      0.14   10.0   0.0    73   132   153   213   125   216 0.81 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 9439at5820           -            250   2.9e-06   25.4   0.1   2   2   0.00024      0.02   12.8   0.0   131   193   693   753   689   769 0.79 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 9439at5820           -            250   4.1e-06   24.9   0.1   1   2       2.7   2.2e+02   -0.4   0.0     5    29     8    33     4    49 0.70 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 9439at5820           -            250   4.1e-06   24.9   0.1   2   2   2.5e-07     2e-05   22.6   0.1   107   192   111   207    96   245 0.79 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 9439at5820           -            250     5e-05   21.3   0.0   1   2   0.00079     0.065   11.2   0.0    97   145   905   954   898   967 0.82 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 9439at5820           -            250     5e-05   21.3   0.0   2   2    0.0098      0.81    7.6   0.0   162   201  1062  1101  1044  1108 0.83 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 9439at5820           -            250   0.00011   20.2   0.0   1   1   2.4e-06    0.0002   19.4   0.0    93   199   524   641   487   687 0.74 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 9439at5820           -            250   0.00068   17.6   1.0   1   2   0.00016     0.013   13.4   0.8    87   139   373   425   365   437 0.90 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 9439at5820           -            250   0.00068   17.6   1.0   2   2       0.5        41    2.0   0.0   176   199   491   514   447   523 0.83 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 9439at5820           -            250    0.0018   16.2   7.5   1   3       3.9   3.2e+02   -1.0   0.3    39    68   667   696   654   715 0.75 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 9439at5820           -            250    0.0018   16.2   7.5   2   3    0.0014      0.11   10.4   1.4    67   136   942  1009   923  1044 0.77 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 9439at5820           -            250    0.0018   16.2   7.5   3   3    0.0086      0.71    7.7   0.0   174   201  1167  1193  1160  1222 0.76 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9439at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9439at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9439at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:07 2026
# [ok]
