#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089205.1-p1      -            292 9510at5820           -            234  9.2e-140  462.2  23.2   1   1  2.3e-138  3.2e-136  450.6  23.2     1   224     1   263     1   292 0.93 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 9510at5820           -            234   8.2e-05   20.6   0.0   1   1   9.8e-07   0.00014   19.8   0.0   126   196    36   107    20   114 0.86 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 9510at5820           -            234   8.6e-05   20.5   0.8   1   2     1e-05    0.0015   16.5   0.1   121   208     5    94     2   105 0.79 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 9510at5820           -            234   8.6e-05   20.5   0.8   2   2      0.16        23    2.7   0.1   159   195   150   184   100   189 0.59 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122855.1-p1      -            124 9510at5820           -            234   8.9e-05   20.4   0.1   1   1   7.1e-07    0.0001   20.3   0.1   138   204    20    87     4   110 0.83 | transcript=PVX_122855.1 | gene=PVX_122855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:927195-928065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122365.1-p1      -            158 9510at5820           -            234   0.00012   20.0   0.0   1   1   8.9e-07   0.00013   19.9   0.0     4    66    33    94    29   144 0.84 | transcript=PVX_122365.1 | gene=PVX_122365 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:516583-517059(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117025.1-p1      -            914 9510at5820           -            234   0.00019   19.3   0.0   1   1   3.2e-06   0.00045   18.1   0.0   124   199   675   751   667   771 0.85 | transcript=PVX_117025.1 | gene=PVX_117025 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=Pv_Sal1_chr12:1469113-1471857(+) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001865.1-p1      -            491 9510at5820           -            234   0.00033   18.6   0.0   1   1   4.5e-06   0.00064   17.6   0.0   129   199   340   411   328   436 0.85 | transcript=PVX_001865.1 | gene=PVX_001865 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr06:208485-211414(-) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111500.1-p1      -            181 9510at5820           -            234    0.0006   17.7   0.0   1   1   5.9e-06   0.00084   17.3   0.0    10   100    79   170    71   179 0.77 | transcript=PVX_111500.1 | gene=PVX_111500 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr06:419973-420518(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 9510at5820           -            234   0.00063   17.6   0.0   1   1     9e-06    0.0013   16.7   0.0   135   205    38   109    14   130 0.88 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084415.1-p1      -            182 9510at5820           -            234   0.00088   17.2   0.0   1   1   8.2e-06    0.0012   16.8   0.0   125   221    81   181    69   182 0.83 | transcript=PVX_084415.1 | gene=PVX_084415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:278603-279666(+) | protein_length=182 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 9510at5820           -            234    0.0041   15.0   1.1   1   2    0.0012      0.17    9.7   0.1   163   201   266   304   221   316 0.76 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 9510at5820           -            234    0.0041   15.0   1.1   2   2      0.13        18    3.1   0.0   145   201   452   503   432   505 0.77 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086130.1-p1      -            119 9510at5820           -            234     0.011   13.6   0.0   1   1   9.1e-05     0.013   13.4   0.0   125   198    34   108    15   118 0.75 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9510at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9510at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9510at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:29 2026
# [ok]
