#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111390.1-p1      -            629 6323at5820           -            422  9.5e-199  658.8   7.6   1   2   3.8e-10   6.6e-08   30.1   0.1     2    65    74   180    73   200 0.68 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 6323at5820           -            422   3.5e-07   27.7  25.4   3   4   0.00014     0.025   11.8   2.8   244   279   286   321   268   335 0.72 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 6323at5820           -            422   3.5e-07   27.7  25.4   4   4   1.7e-05     0.003   14.8   1.5   249   320   611   692   588   694 0.78 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084870.1-p1      -            509 6323at5820           -            422   7.1e-07   26.7   1.8   1   3    0.0068       1.2    6.2   1.2   247   281   188   222   175   248 0.83 | transcript=PVX_084870.1 | gene=PVX_084870 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr13:743462-745566(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084870.1-p1      -            509 6323at5820           -            422   7.1e-07   26.7   1.8   2   3   4.1e-09   7.1e-07   26.7   1.8   185   280   335   434   321   442 0.87 | transcript=PVX_084870.1 | gene=PVX_084870 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr13:743462-745566(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084870.1-p1      -            509 6323at5820           -            422   7.1e-07   26.7   1.8   3   3      0.18        31    1.6   0.0   373   403   459   490   452   506 0.64 | transcript=PVX_084870.1 | gene=PVX_084870 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr13:743462-745566(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 6323at5820           -            422   1.1e-06   26.1   4.6   1   2       6.2   1.1e+03   -3.5   1.2   154   160    77    83    59   121 0.52 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 6323at5820           -            422   1.1e-06   26.1   4.6   2   2   6.2e-09   1.1e-06   26.1   4.6   243   393   276   430   264   438 0.80 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 6323at5820           -            422   1.5e-06   25.6  28.3   1   6       2.3   4.1e+02   -2.1   0.0   388   415    30    59    25    66 0.70 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 6323at5820           -            422   1.5e-06   25.6  28.3   2   6   9.4e-05     0.016   12.4   0.5   180   237    79   138    68   138 0.79 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 6323at5820           -            422   1.5e-06   25.6  28.3   3   6   1.7e-05     0.003   14.8   3.3   247   349   105   225    99   235 0.75 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 6323at5820           -            422   1.5e-06   25.6  28.3   4   6      0.86   1.5e+02   -0.7   6.1   139   210   370   449   349   463 0.61 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 6323at5820           -            422   1.5e-06   25.6  28.3   5   6       5.7   9.9e+02   -3.4   0.1   114   142   616   645   604   657 0.61 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 6323at5820           -            422   1.5e-06   25.6  28.3   6   6   3.1e-07   5.3e-05   20.5   0.1   299   403   866   967   816  1034 0.89 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 6323at5820           -            422   3.8e-06   24.3   0.9   1   3   2.2e-08   3.8e-06   24.3   0.9   244   346    60   175    48   187 0.82 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 6323at5820           -            422   3.8e-06   24.3   0.9   2   3    0.0011      0.19    8.9   1.9   165   226   115   177   102   239 0.67 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 6323at5820           -            422   3.8e-06   24.3   0.9   3   3       4.6     8e+02   -3.1   0.1    31    91   391   457   372   463 0.56 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 6323at5820           -            422   1.2e-05   22.7  13.7   1   3    0.0026      0.44    7.6   0.0   374   404    49    79    44    90 0.84 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 6323at5820           -            422   1.2e-05   22.7  13.7   2   3   7.1e-07   0.00012   19.4   5.5   113   261    99   264    93   274 0.87 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 6323at5820           -            422   1.2e-05   22.7  13.7   3   3         1   1.8e+02   -0.9   0.3   224   282   344   405   321   430 0.69 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113565.1-p1      -            361 6323at5820           -            422   3.3e-05   21.3   0.1   1   1   2.6e-07   4.5e-05   20.8   0.1   182   284   166   269   147   290 0.82 | transcript=PVX_113565.1 | gene=PVX_113565 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr11:1697877-1700429(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 6323at5820           -            422   3.8e-05   21.0  22.8   1   3   2.5e-06   0.00043   17.5   0.3   246   281   201   236   158   262 0.75 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 6323at5820           -            422   3.8e-05   21.0  22.8   2   3   7.8e-05     0.013   12.6   1.2   213   279   269   337   264   355 0.72 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 6323at5820           -            422   3.8e-05   21.0  22.8   3   3     0.015       2.6    5.1   0.0   169   209   825   867   773   889 0.75 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083500.1-p1      -            466 6323at5820           -            422   7.3e-05   20.1   2.2   1   1   2.2e-06   0.00037   17.8   2.1   160   281    65   144     8   216 0.58 | transcript=PVX_083500.1 | gene=PVX_083500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:71032-73869(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 6323at5820           -            422   0.00014   19.2   8.9   1   4         1   1.7e+02   -0.9   0.1   247   263   224   240   216   248 0.83 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 6323at5820           -            422   0.00014   19.2   8.9   2   4     0.021       3.7    4.6   0.0   260   285   272   297   268   305 0.78 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 6323at5820           -            422   0.00014   19.2   8.9   3   4   1.2e-05    0.0021   15.3   0.7   133   282   288   462   287   481 0.73 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 6323at5820           -            422   0.00014   19.2   8.9   4   4     0.051       8.8    3.4   0.2   249   280   494   526   473   532 0.81 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090905.1-p1      -            616 6323at5820           -            422    0.0035   14.6   1.8   1   2      0.22        38    1.3   0.0   213   279   250   319   223   328 0.68 | transcript=PVX_090905.1 | gene=PVX_090905 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:85198-87048(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090905.1-p1      -            616 6323at5820           -            422    0.0035   14.6   1.8   2   2   0.00035      0.06   10.5   0.0   199   239   566   610   562   615 0.84 | transcript=PVX_090905.1 | gene=PVX_090905 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:85198-87048(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 6323at5820           -            422    0.0039   14.4   0.7   1   2   2.3e-05    0.0039   14.4   0.7   170   280    20   142     3   147 0.74 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 6323at5820           -            422    0.0039   14.4   0.7   2   2       1.8   3.2e+02   -1.8   0.1   208   251   212   249   186   267 0.45 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091575.1-p1      -            408 6323at5820           -            422     0.013   12.7   0.1   1   1   0.00012     0.021   12.0   0.1   172   230   113   175    57   187 0.70 | transcript=PVX_091575.1 | gene=PVX_091575 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:623669-625710(-) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 6323at5820           -            422      0.02   12.0   1.4   1   3         3   5.2e+02   -2.5   0.1     8    49  1311  1353  1306  1363 0.79 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 6323at5820           -            422      0.02   12.0   1.4   2   3    0.0016      0.28    8.3   0.0   366   404  1707  1745  1705  1756 0.92 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 6323at5820           -            422      0.02   12.0   1.4   3   3      0.57        99   -0.1   0.0   224   278  1918  1973  1907  1976 0.70 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6323at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6323at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6323at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:56 2026
# [ok]
