#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   1   8   2.6e-74   2.4e-71  237.9  14.0     6   162    13   175     1   181 0.92 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 27at5820             -           4874  2.7e-100  334.0 423.2   5  11   4.5e-21   4.1e-18   61.2  19.0  2204  2457  1968  2228  1961  2252 0.79 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 27at5820             -           4874  2.7e-100  334.0 423.2   6  11   9.5e-10   8.7e-07   23.6  51.6  2599  3103  2618  3106  2575  3139 0.70 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 27at5820             -           4874  2.7e-100  334.0 423.2   7  11   3.4e-27   3.1e-24   81.5  47.5  3240  3776  3267  3788  3256  3794 0.88 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 27at5820             -           4874  2.7e-100  334.0 423.2   8  11   7.8e-16   7.2e-13   43.8  25.3  3783  4060  3972  4247  3969  4264 0.90 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 27at5820             -           4874  2.7e-100  334.0 423.2   9  11   2.2e-07    0.0002   15.8  10.5  4149  4337  4465  4653  4445  4664 0.83 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 27at5820             -           4874  2.7e-100  334.0 423.2  10  11     5e-07   0.00046   14.6  11.8  4347  4538  4768  4959  4761  4967 0.81 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 27at5820             -           4874  2.7e-100  334.0 423.2  11  11   6.1e-11   5.7e-08   27.6   3.7  4569  4812  4918  5148  4915  5154 0.83 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/27at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/27at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/27at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:54 2026
# [ok]
