#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091375.1-p1      -            708 5085at5820           -            546         0 1099.9  55.5   1   3   3.6e-28   5.7e-26   89.5  14.5     4    87    44   137    41   146 0.90 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5085at5820           -            546     7e-12   43.0  10.9   3   4   1.6e-12   2.6e-10   37.8   0.0   343   419   561   640   553   654 0.85 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 5085at5820           -            546     7e-12   43.0  10.9   4   4       0.1        16    2.2   0.2   506   539   689   722   666   729 0.75 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 5085at5820           -            546   3.7e-11   40.6   0.6   1   2   1.3e-10     2e-08   31.6   0.3   286   417  1773  1904  1724  1914 0.75 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 5085at5820           -            546   3.7e-11   40.6   0.6   2   2    0.0034      0.53    7.1   0.0   490   535  1913  1958  1905  1966 0.91 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 5085at5820           -            546   1.1e-10   39.1   0.8   1   1   9.2e-13   1.5e-10   38.7   0.8   216   415    16   214    10   225 0.79 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 5085at5820           -            546   5.1e-10   36.9   0.0   1   1   4.6e-12   7.3e-10   36.3   0.0   218   409    39   225    29   243 0.84 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 5085at5820           -            546   1.5e-09   35.3   0.0   1   3     9e-06    0.0014   15.6   0.0   310   387   186   267   144   273 0.84 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 5085at5820           -            546   1.5e-09   35.3   0.0   2   3   0.00011     0.018   12.0   0.0   388   432   478   522   474   561 0.82 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 5085at5820           -            546   1.5e-09   35.3   0.0   3   3     0.034       5.4    3.8   0.0   503   535   561   594   547   601 0.87 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 5085at5820           -            546   1.5e-08   32.0   2.2   1   2   6.3e-09   9.9e-07   26.0   0.1   217   414    37   241    30   257 0.72 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 5085at5820           -            546   1.5e-08   32.0   2.2   2   2    0.0068       1.1    6.1   0.3   489   534   260   307   246   313 0.77 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 5085at5820           -            546   1.8e-05   21.9   5.1   1   2      0.12        18    2.0   0.1    35    99    74   138    43   143 0.73 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 5085at5820           -            546   1.8e-05   21.9   5.1   2   2     2e-07   3.1e-05   21.1   1.2   204   414   450   657   444   675 0.78 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 5085at5820           -            546    0.0055   13.6   5.3   1   3     0.012         2    5.2   0.9   319   350   371   402   281   408 0.84 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 5085at5820           -            546    0.0055   13.6   5.3   2   3    0.0025      0.39    7.5   0.1   378   414   537   573   524   604 0.79 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 5085at5820           -            546    0.0055   13.6   5.3   3   3      0.29        46    0.7   0.0   509   535   610   637   606   644 0.83 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 5085at5820           -            546     0.026   11.5   0.7   1   1   0.00029     0.046   10.6   0.7   257   383  2996  3128  2942  3139 0.58 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 5085at5820           -            546      0.72    6.7  11.4   1   2   0.00011     0.017   12.1   0.7   315   363  3109  3152  3055  3169 0.67 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 5085at5820           -            546      0.72    6.7  11.4   2   2       0.1        16    2.2   0.0   376   408  3210  3242  3196  3246 0.88 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5085at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5085at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5085at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:15 2026
# [ok]
