#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117565.1-p1      -            583 7466at5820           -            378  1.3e-169  562.6  56.2   1   6   5.2e-09   1.3e-06   26.1   0.2     3    40     6    46     1    63 0.77 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003835.1-p1      -           1090 7466at5820           -            378   3.8e-06   24.6  10.1   3   3   3.5e-08   8.8e-06   23.4   0.2   316   356   726   766   703   771 0.88 | transcript=PVX_003835.1 | gene=PVX_003835 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=Pv_Sal1_chr04:567313-571093(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7466at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7466at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7466at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:36 2026
# [ok]
