#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086130.1-p1      -            119 14381at5820          -             87   3.8e-56  186.0   1.0   1   1   3.2e-58   4.6e-56  185.7   1.0     1    87    25   114    25   114 0.98 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 14381at5820          -             87     0.038   13.0   0.1   2   2    0.0046      0.65    9.0   0.1    11    69   166   222   159   234 0.86 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14381at5820          -             87     0.053   12.5   5.2   1   3       7.7   1.1e+03   -1.3   0.0    13    40   716   743   712   767 0.72 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14381at5820          -             87     0.053   12.5   5.2   2   3       1.6   2.3e+02    0.8   0.1    51    75   924   948   864   956 0.55 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14381at5820          -             87     0.053   12.5   5.2   3   3     0.003      0.43    9.6   0.1    14    77   989  1051   979  1061 0.82 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089755.1-p1      -            480 14381at5820          -             87     0.059   12.3   0.0   1   1   0.00074       0.1   11.5   0.0    13    86   407   479   402   480 0.91 | transcript=PVX_089755.1 | gene=PVX_089755 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:806049-808388(-) | protein_length=480 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114660.1-p1      -           1176 14381at5820          -             87      0.15   11.0   2.9   1   1   0.00063     0.089   11.8   0.4    13    80   639   710   629   717 0.75 | transcript=PVX_114660.1 | gene=PVX_114660 | organism=Plasmodium_vivax_Sal-1 | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=Pv_Sal1_chr11:727600-731130(-) | protein_length=1176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092430.1-p1      -           1068 14381at5820          -             87       1.8    7.6   6.7   1   1    0.0021       0.3   10.1   0.4    23    72   320   367   301   379 0.80 | transcript=PVX_092430.1 | gene=PVX_092430 | organism=Plasmodium_vivax_Sal-1 | gene_product=tudor staphylococcal nuclease, putative | transcript_product=tudor staphylococcal nuclease, putative | location=Pv_Sal1_chr09:1366821-1370257(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14381at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14381at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14381at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:17 2026
# [ok]
