#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084125.1-p1      -            844 3504at5820           -            686         0 1205.9  71.8   1   2   2.6e-11     4e-09   33.7   2.0    12    47   141   176   121   176 0.79 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 3504at5820           -            686   1.4e-11   41.9   3.2   2   3      0.79   1.2e+02   -0.9   0.2   350   377   316   341   303   357 0.68 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 3504at5820           -            686   1.4e-11   41.9   3.2   3   3   3.1e-12   4.8e-10   36.8   0.1   379   471   449   547   385   553 0.81 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 3504at5820           -            686   7.1e-11   39.5  22.6   1   3   1.4e-07   2.1e-05   21.4   5.6    61   257   136   317    88   320 0.63 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 3504at5820           -            686   7.1e-11   39.5  22.6   2   3   6.3e-08   9.6e-06   22.5   4.3   411   516   528   642   523   658 0.70 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 3504at5820           -            686   7.1e-11   39.5  22.6   3   3       0.4        61    0.0   2.1   177   230   640   692   632   695 0.80 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 3504at5820           -            686   1.2e-09   35.4   4.0   1   3    0.0023      0.35    7.5   0.0    60    98   605   643   598   647 0.85 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 3504at5820           -            686   1.2e-09   35.4   4.0   2   3      0.62        96   -0.6   0.0   187   211   912   934   895   937 0.76 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081575.1-p1      -           1378 3504at5820           -            686   1.2e-09   35.4   4.0   3   3   2.5e-09   3.8e-07   27.2   0.4   401   457  1203  1259  1137  1271 0.83 | transcript=PVX_081575.1 | gene=PVX_081575 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:451878-456376(-) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097775.1-p1      -            522 3504at5820           -            686   1.9e-09   34.8  20.9   1   2      0.22        34    0.9   9.5    39   121   103   187    89   317 0.67 | transcript=PVX_097775.1 | gene=PVX_097775 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1171269-1173201(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097775.1-p1      -            522 3504at5820           -            686   1.9e-09   34.8  20.9   2   2   4.4e-11   6.7e-09   33.0  10.7   297   449   305   455   232   490 0.67 | transcript=PVX_097775.1 | gene=PVX_097775 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1171269-1173201(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089015.1-p1      -           1181 3504at5820           -            686   1.3e-08   32.0   9.8   1   2     0.041       6.3    3.3   4.5    40   175   178   301   143   368 0.60 | transcript=PVX_089015.1 | gene=PVX_089015 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=Pv_Sal1_chr05:224462-228007(+) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089015.1-p1      -           1181 3504at5820           -            686   1.3e-08   32.0   9.8   2   2   2.1e-10   3.3e-08   30.7   0.2   347   444   408   507   386   517 0.84 | transcript=PVX_089015.1 | gene=PVX_089015 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=Pv_Sal1_chr05:224462-228007(+) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000990.1-p1      -            548 3504at5820           -            686   1.3e-07   28.7  14.7   1   2      0.35        53    0.3   9.8    34   177    94   240    56   263 0.62 | transcript=PVX_000990.1 | gene=PVX_000990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase protein, putative | transcript_product=ATP-dependent RNA helicase protein, putative | location=Pv_Sal1_chr03:130416-132387(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000990.1-p1      -            548 3504at5820           -            686   1.3e-07   28.7  14.7   2   2   8.7e-10   1.3e-07   28.7  14.7   259   466   272   486   258   505 0.77 | transcript=PVX_000990.1 | gene=PVX_000990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase protein, putative | transcript_product=ATP-dependent RNA helicase protein, putative | location=Pv_Sal1_chr03:130416-132387(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 3504at5820           -            686   2.8e-07   27.6   5.3   1   3      0.83   1.3e+02   -1.0   1.5    65    89    54    79    46   136 0.78 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 3504at5820           -            686   2.8e-07   27.6   5.3   2   3       1.5   2.3e+02   -1.9   0.8    11    58   117   164    99   177 0.66 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 3504at5820           -            686   2.8e-07   27.6   5.3   3   3   1.8e-09   2.8e-07   27.6   5.3   333   474   363   505   352   534 0.75 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 3504at5820           -            686   3.9e-07   27.1   8.1   1   2      0.41        62    0.0   0.0    69    99    64    94    48   108 0.80 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 3504at5820           -            686   3.9e-07   27.1   8.1   2   2   6.3e-09   9.6e-07   25.8   6.6   289   462   214   393   207   445 0.78 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 3504at5820           -            686   1.4e-06   25.3   1.5   1   3       3.7   5.7e+02   -3.1   0.3   194   212   297   315   283   318 0.74 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 3504at5820           -            686   1.4e-06   25.3   1.5   2   3      0.21        33    1.0   2.8    29    95   373   437   344   561 0.79 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 3504at5820           -            686   1.4e-06   25.3   1.5   3   3   9.3e-09   1.4e-06   25.3   1.5   348   467   607   764   583   772 0.65 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 3504at5820           -            686   2.1e-05   21.5   0.2   1   3     0.016       2.4    4.7   1.2    22    94   102   172    81   196 0.69 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 3504at5820           -            686   2.1e-05   21.5   0.2   2   3       2.8   4.2e+02   -2.7   0.1   496   547   228   278   221   289 0.69 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122490.1-p1      -            790 3504at5820           -            686   2.1e-05   21.5   0.2   3   3   1.3e-07   2.1e-05   21.5   0.2   386   451   646   711   626   731 0.84 | transcript=PVX_122490.1 | gene=PVX_122490 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:620912-623284(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 3504at5820           -            686   3.6e-05   20.7  30.1   1   4       2.3   3.5e+02   -2.4   0.0   305   329    97   121    84   144 0.79 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 3504at5820           -            686   3.6e-05   20.7  30.1   2   4   3.1e-07   4.7e-05   20.3  15.8    19   261   225   458   206   463 0.72 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 3504at5820           -            686   3.6e-05   20.7  30.1   3   4       2.5   3.8e+02   -2.6   0.9   192   240   646   698   629   725 0.65 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000680.1-p1      -           1189 3504at5820           -            686   3.6e-05   20.7  30.1   4   4   0.00042     0.065    9.9   0.1   369   458   836   929   815   948 0.82 | transcript=PVX_000680.1 | gene=PVX_000680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr03:379822-383391(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3504at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3504at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3504at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:05 2026
# [ok]
