#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475997.1         -            877 3396at5820           -            652         0 1269.6  89.1   1   5   3.2e-12   5.5e-10   36.7  14.2     2    53    14    79    13    83 0.71 | transcript=PVW1_130036500_t1 | gene=PVW1_130036500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | transcript_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | location=CAJZCX010000006:1356066-1358861(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 3396at5820           -            652     2e-17   61.3  21.8   2   3     3e-05    0.0052   13.7   0.6   302   352   661   712   611   721 0.83 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 3396at5820           -            652     2e-17   61.3  21.8   3   3   1.9e-05    0.0033   14.3   0.1   346   456   833   940   823   952 0.77 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483188.1         -            548 3396at5820           -            652   3.1e-16   57.4  30.5   1   1   3.1e-18   5.4e-16   56.6  30.5    67   470    88   521    49   539 0.63 | transcript=PVW1_030011500_t1 | gene=PVW1_030011500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | transcript_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | location=CAJZCX010000014:336887-338858(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 3396at5820           -            652   1.6e-15   55.1   3.0   1   2   2.8e-06   0.00048   17.1   0.0    86   129   151   194   129   200 0.85 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 3396at5820           -            652   1.6e-15   55.1   3.0   2   2   1.5e-12   2.7e-10   37.8   0.9   143   427   272   554   265   572 0.74 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 3396at5820           -            652   1.4e-12   45.3  17.9   1   3   0.00015     0.026   11.4   0.0    66   128    26    88    20   100 0.91 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 3396at5820           -            652   1.4e-12   45.3  17.9   2   3   0.00046     0.079    9.8   0.1   216   276   288   349   283   353 0.83 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 3396at5820           -            652   1.4e-12   45.3  17.9   3   3   6.4e-12   1.1e-09   35.7   0.7   339   418   616   702   582   716 0.70 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 3396at5820           -            652   8.7e-10   36.1  10.2   1   3    0.0032      0.56    7.0   0.1    29   130   104   205    83   216 0.82 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 3396at5820           -            652   8.7e-10   36.1  10.2   2   3      0.28        49    0.5   0.1   185   238   499   552   460   563 0.74 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 3396at5820           -            652   8.7e-10   36.1  10.2   3   3   1.1e-10     2e-08   31.6   2.3   315   411   886   978   877   982 0.90 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475141.1         -            522 3396at5820           -            652   7.1e-08   29.8  23.4   1   1   1.1e-09     2e-07   28.3  23.4   110   453   139   490    90   501 0.67 | transcript=PVW1_100053900_t1 | gene=PVW1_100053900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2197809-2199741(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480550.1         -            744 3396at5820           -            652   7.5e-06   23.1   1.8   1   2      0.89   1.5e+02   -1.1   0.2   415   448   134   167    95   219 0.67 | transcript=PVW1_070023500_t1 | gene=PVW1_070023500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:843321-845555(+) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480550.1         -            744 3396at5820           -            652   7.5e-06   23.1   1.8   2   2   4.3e-08   7.5e-06   23.1   1.8   332   451   402   520   352   538 0.69 | transcript=PVW1_070023500_t1 | gene=PVW1_070023500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:843321-845555(+) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 3396at5820           -            652   8.7e-06   22.8   6.9   1   3    0.0012      0.21    8.4   0.4    54   133    97   175    82   183 0.77 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 3396at5820           -            652   8.7e-06   22.8   6.9   2   3       4.8   8.4e+02   -3.5   0.3   116   162   405   446   357   457 0.52 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 3396at5820           -            652   8.7e-06   22.8   6.9   3   3   1.6e-06   0.00028   17.9   0.0   377   436   669   726   637   751 0.79 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 3396at5820           -            652   1.9e-05   21.7   7.9   1   2     0.011       1.9    5.2   0.0   189   226   900   937   894   947 0.90 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 3396at5820           -            652   1.9e-05   21.7   7.9   2   2   1.4e-05    0.0025   14.7   6.7   302   418  1129  1257  1120  1275 0.71 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3396at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3396at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3396at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:42 2026
# [ok]
