#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479718.1         -            292 9510at5820           -            234    1e-139  462.2  23.2   1   1  2.2e-138  3.6e-136  450.6  23.2     1   224     1   263     1   292 0.93 | transcript=PVW1_050016100_t1 | gene=PVW1_050016100 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | location=CAJZCX010000010:512076-513290(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477508.1         -            448 9510at5820           -            234   3.7e-05   21.8   0.1   1   1     4e-07   6.3e-05   21.1   0.1     7    69    98   161    91   180 0.70 | transcript=PVW1_110010300_t1 | gene=PVW1_110010300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEU1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEU1] | location=CAJZCX010000008:220414-221760(-) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480823.1         -            192 9510at5820           -            234   6.4e-05   21.0   0.6   1   2   7.6e-06    0.0012   16.9   0.1   121   208     5    94     2   105 0.79 | transcript=PVW1_070040600_t1 | gene=PVW1_070040600 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | transcript_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | location=CAJZCX010000011:1467954-1468532(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480823.1         -            192 9510at5820           -            234   6.4e-05   21.0   0.6   2   2      0.16        25    2.7   0.1   159   195   150   184   100   189 0.59 | transcript=PVW1_070040600_t1 | gene=PVW1_070040600 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | transcript_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | location=CAJZCX010000011:1467954-1468532(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476308.1         -            661 9510at5820           -            234   6.7e-05   21.0   0.0   1   1   9.8e-07   0.00016   19.8   0.0   125   203   165   247   156   261 0.82 | transcript=PVW1_130052700_t1 | gene=PVW1_130052700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2091993-2095426(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471981.1         -            880 9510at5820           -            234   7.4e-05   20.8   3.3   1   2   7.1e-07   0.00011   20.2   0.6    93   122   192   221   179   237 0.85 | transcript=PVW1_140023700_t1 | gene=PVW1_140023700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 40, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K0] | transcript_product=Pre-mRNA-processing factor 40, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K0] | location=CAJZCX010000003:820128-822770(+) | protein_length=880 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471981.1         -            880 9510at5820           -            234   7.4e-05   20.8   3.3   2   2       1.3     2e+02   -0.2   0.2    90   121   231   262   223   265 0.88 | transcript=PVW1_140023700_t1 | gene=PVW1_140023700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 40, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K0] | transcript_product=Pre-mRNA-processing factor 40, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K0] | location=CAJZCX010000003:820128-822770(+) | protein_length=880 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479082.1         -            299 9510at5820           -            234     9e-05   20.6   0.0   1   1   9.5e-07   0.00015   19.8   0.0   126   196    36   107    20   114 0.86 | transcript=PVW1_080026100_t1 | gene=PVW1_080026100 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | location=CAJZCX010000009:962142-963476(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477979.1         -            153 9510at5820           -            234   9.6e-05   20.5   1.7   1   1   1.7e-06   0.00027   19.0   1.5   103   201    38   136    19   147 0.83 | transcript=PVW1_110039200_t1 | gene=PVW1_110039200 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H050] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H050] | location=CAJZCX010000008:1455048-1456485(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472069.1         -            124 9510at5820           -            234   9.7e-05   20.4   0.1   1   1   6.9e-07   0.00011   20.3   0.1   138   204    20    87     4   110 0.83 | transcript=PVW1_140028000_t1 | gene=PVW1_140028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | location=CAJZCX010000003:1001268-1002138(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471921.1         -            158 9510at5820           -            234   0.00013   20.0   0.0   1   1   8.7e-07   0.00014   19.9   0.0     4    66    33    94    29   144 0.84 | transcript=PVW1_140017900_t1 | gene=PVW1_140017900 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ0] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ0] | location=CAJZCX010000003:590167-590643(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473602.1         -            911 9510at5820           -            234   0.00021   19.3   0.0   1   1   3.1e-06   0.00049   18.1   0.0   124   199   672   748   664   768 0.85 | transcript=PVW1_120052600_t1 | gene=PVW1_120052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF large subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA2] | transcript_product=Splicing factor U2AF large subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA2] | location=CAJZCX010000004:1966612-1969347(+) | protein_length=911 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481466.1         -            181 9510at5820           -            234   0.00065   17.7   0.0   1   1   5.8e-06   0.00092   17.3   0.0    10   100    79   170    71   179 0.77 | transcript=PVW1_060015800_t1 | gene=PVW1_060015800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU96] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU96] | location=CAJZCX010000012:489855-490400(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473942.1         -            786 9510at5820           -            234    0.0007   17.6   0.0   1   1   8.8e-06    0.0014   16.7   0.0   135   205    38   109    14   130 0.88 | transcript=PVW1_120076300_t1 | gene=PVW1_120076300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | location=CAJZCX010000004:2999228-3002288(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475453.1         -            182 9510at5820           -            234   0.00097   17.2   0.0   1   1     8e-06    0.0013   16.8   0.0   125   221    81   181    69   182 0.83 | transcript=PVW1_130013400_t1 | gene=PVW1_130013400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ4] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ4] | location=CAJZCX010000006:384893-385916(+) | protein_length=182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471856.1         -            505 9510at5820           -            234    0.0045   15.0   1.1   1   2    0.0012      0.18    9.7   0.1   163   201   266   304   221   316 0.76 | transcript=PVW1_140014000_t1 | gene=PVW1_140014000 | organism=Plasmodium_vivax_PvW1 | gene_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | transcript_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | location=CAJZCX010000003:434420-436257(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471856.1         -            505 9510at5820           -            234    0.0045   15.0   1.1   2   2      0.12        20    3.1   0.0   145   201   452   503   432   505 0.77 | transcript=PVW1_140014000_t1 | gene=PVW1_140014000 | organism=Plasmodium_vivax_PvW1 | gene_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | transcript_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | location=CAJZCX010000003:434420-436257(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476258.1         -            119 9510at5820           -            234     0.012   13.6   0.0   1   1   8.8e-05     0.014   13.4   0.0   125   198    34   108    15   118 0.75 | transcript=PVW1_130049300_t1 | gene=PVW1_130049300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ83] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ83] | location=CAJZCX010000006:1961744-1962472(-) | protein_length=119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9510at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9510at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9510at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:29 2026
# [ok]
