#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472486.1         -            847 5119at5820           -            616         0 1012.6  48.1   1   4  2.7e-137    5e-135  449.4   4.0     8   263    56   312     7   317 0.93 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 5119at5820           -            616   2.8e-21   73.7   7.5   1   3   1.1e-09   2.1e-07   27.8   0.0    65   110   148   193   124   198 0.93 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 5119at5820           -            616   2.8e-21   73.7   7.5   2   3   1.6e-08     3e-06   24.0   3.5   123   336   228   442   225   459 0.72 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 5119at5820           -            616   2.8e-21   73.7   7.5   3   3   6.7e-08   1.2e-05   22.0   0.0   376   425   460   510   455   572 0.84 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473936.1         -            528 5119at5820           -            616   2.9e-21   73.6   0.1   1   2   2.1e-12   3.9e-10   36.9   0.0    65   261   135   325   126   386 0.72 | transcript=PVW1_120076000_t1 | gene=PVW1_120076000 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | transcript_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | location=CAJZCX010000004:2982516-2985951(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473936.1         -            528 5119at5820           -            616   2.9e-21   73.6   0.1   2   2   1.1e-11     2e-09   34.5   0.0   376   430   421   477   416   486 0.85 | transcript=PVW1_120076000_t1 | gene=PVW1_120076000 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | transcript_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | location=CAJZCX010000004:2982516-2985951(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 5119at5820           -            616   4.6e-21   73.0   0.7   1   3   1.3e-19   2.4e-17   60.7   0.3    62   204   155   301   132   315 0.75 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 5119at5820           -            616   4.6e-21   73.0   0.7   2   3       1.1     2e+02   -1.8   0.0   226   258   366   399   362   404 0.77 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 5119at5820           -            616   4.6e-21   73.0   0.7   3   3   3.9e-07   7.2e-05   19.5   0.0   376   436   645   703   641   720 0.77 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 5119at5820           -            616   6.7e-21   72.4  32.8   1   4   3.2e-12   5.9e-10   36.3   0.1    58   111    63   116    55   128 0.90 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 5119at5820           -            616   6.7e-21   72.4  32.8   2   4   6.3e-06    0.0012   15.5   2.2   104   168   224   289   218   317 0.71 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 5119at5820           -            616   6.7e-21   72.4  32.8   3   4   0.00087      0.16    8.4   0.2   162   227   315   377   296   389 0.84 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 5119at5820           -            616   6.7e-21   72.4  32.8   4   4     3e-11   5.5e-09   33.1   2.8   374   444   592   661   548   680 0.77 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 5119at5820           -            616   5.5e-13   46.3  16.4   1   4   1.5e-05    0.0028   14.2   0.0    63   106    47    90    17   103 0.84 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 5119at5820           -            616   5.5e-13   46.3  16.4   2   4     0.023       4.3    3.7   0.0   117   138   133   154   128   161 0.84 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 5119at5820           -            616   5.5e-13   46.3  16.4   3   4    0.0028      0.51    6.7   0.0   193   257   287   349   274   356 0.76 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 5119at5820           -            616   5.5e-13   46.3  16.4   4   4   1.8e-10   3.3e-08   30.5   1.3   374   450   661   741   584   746 0.77 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 5119at5820           -            616   1.7e-12   44.6   7.8   1   1   1.6e-14   2.9e-12   43.9   7.8    25   225   200   412   181   451 0.80 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475314.1         -            869 5119at5820           -            616   2.6e-11   40.8  24.0   1   2   1.9e-06   0.00035   17.2  18.0    18   204   134   349   114   365 0.63 | transcript=PVW1_130007900_t1 | gene=PVW1_130007900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | location=CAJZCX010000006:131725-135498(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475314.1         -            869 5119at5820           -            616   2.6e-11   40.8  24.0   2   2   5.5e-09     1e-06   25.6   0.3   375   458   593   675   525   692 0.92 | transcript=PVW1_130007900_t1 | gene=PVW1_130007900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | location=CAJZCX010000006:131725-135498(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 5119at5820           -            616     3e-10   37.3  26.3   1   4   2.7e-08     5e-06   23.3   0.0    65   104    24    63    13    75 0.90 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 5119at5820           -            616     3e-10   37.3  26.3   2   4   3.6e-06   0.00066   16.3  13.5   121   304   331   517   321   537 0.70 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 5119at5820           -            616     3e-10   37.3  26.3   3   4         7   1.3e+03   -4.5   4.0   459   509   516   566   491   607 0.72 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 5119at5820           -            616     3e-10   37.3  26.3   4   4     0.012       2.3    4.6   0.3   375   423   641   690   598   698 0.78 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475141.1         -            522 5119at5820           -            616     1e-09   35.5  17.1   1   2   1.1e-11     2e-09   34.5  11.5    81   304   134   367   123   379 0.73 | transcript=PVW1_100053900_t1 | gene=PVW1_100053900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2197809-2199741(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475141.1         -            522 5119at5820           -            616     1e-09   35.5  17.1   2   2     0.019       3.4    4.0   0.2   375   436   416   477   382   492 0.80 | transcript=PVW1_100053900_t1 | gene=PVW1_100053900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2197809-2199741(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 5119at5820           -            616   3.5e-09   33.7   9.2   1   3   2.4e-07   4.4e-05   20.2   0.0    67   105   166   204   128   214 0.87 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 5119at5820           -            616   3.5e-09   33.7   9.2   2   3       3.5   6.4e+02   -3.5   0.1   165   211   505   546   483   571 0.67 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 5119at5820           -            616   3.5e-09   33.7   9.2   3   3   0.00031     0.057    9.9   4.2   374   407   944   978   876  1000 0.77 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 5119at5820           -            616   1.4e-06   25.2   1.3   1   3       3.2     6e+02   -3.4   0.0    86   105   619   638   616   641 0.84 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 5119at5820           -            616   1.4e-06   25.2   1.3   2   3      0.67   1.2e+02   -1.1   0.2   123   189   771   840   767   844 0.74 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 5119at5820           -            616   1.4e-06   25.2   1.3   3   3   7.4e-09   1.4e-06   25.2   1.3   376   420  1218  1263  1180  1278 0.82 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5119at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5119at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5119at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:22 2026
# [ok]
