#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477979.1         -            153 14675at5820          -            104   3.3e-60  199.4   4.5   1   2       1.3   2.8e+02    0.5   0.5     1     9     1     9     1    59 0.74 | transcript=PVW1_110039200_t1 | gene=PVW1_110039200 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H050] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H050] | location=CAJZCX010000008:1455048-1456485(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477173.1         -           1849 14675at5820          -            104    0.0068   15.3   0.0   1   1   0.00018      0.04   12.8   0.0    17    77  1024  1084  1018  1108 0.82 | transcript=PVW1_090044400_t1 | gene=PVW1_090044400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1742468-1748017(+) | protein_length=1849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472069.1         -            124 14675at5820          -            104     0.014   14.3   0.5   1   1   8.2e-05     0.018   14.0   0.5    16    91    12    88     4    97 0.84 | transcript=PVW1_140028000_t1 | gene=PVW1_140028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | location=CAJZCX010000003:1001268-1002138(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480669.1         -            287 14675at5820          -            104     0.019   13.9   3.3   1   2      0.38        82    2.2   0.3    52    86    81   115    33   130 0.71 | transcript=PVW1_070034400_t1 | gene=PVW1_070034400 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | location=CAJZCX010000011:1258338-1260221(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480669.1         -            287 14675at5820          -            104     0.019   13.9   3.3   2   2    0.0003     0.066   12.1   0.2    10    82   208   280   201   284 0.90 | transcript=PVW1_070034400_t1 | gene=PVW1_070034400 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | location=CAJZCX010000011:1258338-1260221(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475453.1         -            182 14675at5820          -            104     0.021   13.7   0.2   1   1   0.00015     0.032   13.1   0.2    15    98    86   172    66   176 0.79 | transcript=PVW1_130013400_t1 | gene=PVW1_130013400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ4] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ4] | location=CAJZCX010000006:384893-385916(+) | protein_length=182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14675at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14675at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14675at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:05 2026
# [ok]
