#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479989.1         -            388 6857at5820           -            381  4.8e-271  896.6   4.7   1   1  3.2e-273  5.4e-271  896.4   4.7     1   381     7   388     7   388 1.00 | transcript=PVW1_050036400_t1 | gene=PVW1_050036400 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | transcript_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | location=CAJZCX010000010:1356986-1358152(+) | protein_length=388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480550.1         -            744 6857at5820           -            381   2.8e-14   51.4   0.9   1   2       1.6   2.6e+02   -1.2   0.3    99   209    53   164    30   189 0.54 | transcript=PVW1_070023500_t1 | gene=PVW1_070023500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:843321-845555(+) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480550.1         -            744 6857at5820           -            381   2.8e-14   51.4   0.9   2   2   1.7e-16   2.8e-14   51.4   0.9   250   367   390   508   359   520 0.87 | transcript=PVW1_070023500_t1 | gene=PVW1_070023500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:843321-845555(+) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 6857at5820           -            381     9e-14   49.7   5.2   1   2   0.00087      0.15    9.5   0.3   119   169   427   480   414   495 0.77 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 6857at5820           -            381     9e-14   49.7   5.2   2   2   1.4e-13   2.4e-11   41.7   0.6   248   337   761   849   755   866 0.92 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 6857at5820           -            381   9.8e-11   39.7   0.0   1   2     0.049       8.2    3.8   0.0    12    71   145   204   134   221 0.85 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 6857at5820           -            381   9.8e-11   39.7   0.0   2   2   6.3e-11   1.1e-08   33.0   0.1   247   343   885   981   870   997 0.88 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483188.1         -            548 6857at5820           -            381   1.2e-10   39.4   7.1   1   1   3.4e-12   5.8e-10   37.2   7.1   177   375   290   499   122   505 0.58 | transcript=PVW1_030011500_t1 | gene=PVW1_030011500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | transcript_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | location=CAJZCX010000014:336887-338858(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475141.1         -            522 6857at5820           -            381   1.9e-09   35.5   6.0   1   1     2e-11   3.4e-09   34.7   6.0    46   357   133   466    94   479 0.77 | transcript=PVW1_100053900_t1 | gene=PVW1_100053900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2197809-2199741(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 6857at5820           -            381     4e-09   34.4   0.9   1   3      0.58        98    0.2   0.0     5    40   480   516   476   521 0.84 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 6857at5820           -            381     4e-09   34.4   0.9   2   3     0.098        17    2.8   0.0   126   163   900   938   895   951 0.83 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 6857at5820           -            381     4e-09   34.4   0.9   3   3   4.4e-09   7.5e-07   26.9   0.4   297   352  1207  1262  1127  1272 0.69 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475750.1         -           1287 6857at5820           -            381   4.1e-09   34.4   0.3   1   2       1.6   2.7e+02   -1.2   0.0    27    86    44   100    39   181 0.75 | transcript=PVW1_130026600_t1 | gene=PVW1_130026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:971641-975504(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475750.1         -           1287 6857at5820           -            381   4.1e-09   34.4   0.3   2   2   8.3e-11   1.4e-08   32.6   0.1   250   358   284   393   270   408 0.92 | transcript=PVW1_130026600_t1 | gene=PVW1_130026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:971641-975504(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6857at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6857at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6857at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:54 2026
# [ok]
