#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473378.1         -            489 6477at5820           -            409  6.1e-230  761.5   1.7   1   1  1.8e-231  2.8e-229  759.3   1.7    12   409    58   477    54   477 0.96 | transcript=PVW1_120036400_t1 | gene=PVW1_120036400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | transcript_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | location=CAJZCX010000004:1337088-1338557(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475141.1         -            522 6477at5820           -            409   8.8e-21   72.6  14.7   1   1   1.1e-22   1.8e-20   71.6  14.7     9   370    89   473    85   502 0.72 | transcript=PVW1_100053900_t1 | gene=PVW1_100053900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2197809-2199741(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475314.1         -            869 6477at5820           -            409   1.4e-18   65.4   8.9   1   3    0.0003     0.048   10.9   2.2    17   104   162   250   148   265 0.71 | transcript=PVW1_130007900_t1 | gene=PVW1_130007900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | location=CAJZCX010000006:131725-135498(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475314.1         -            869 6477at5820           -            409   1.4e-18   65.4   8.9   2   3      0.19        31    1.7   0.2   255   327   234   305   224   336 0.68 | transcript=PVW1_130007900_t1 | gene=PVW1_130007900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | location=CAJZCX010000006:131725-135498(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475314.1         -            869 6477at5820           -            409   1.4e-18   65.4   8.9   3   3   2.1e-18   3.4e-16   57.5   0.4   281   377   562   658   528   681 0.82 | transcript=PVW1_130007900_t1 | gene=PVW1_130007900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | location=CAJZCX010000006:131725-135498(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 6477at5820           -            409   6.1e-18   63.3   2.7   1   2   5.5e-15   8.8e-13   46.3   1.5    16   204   221   428   211   445 0.76 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 6477at5820           -            409   6.1e-18   63.3   2.7   2   2   9.3e-06    0.0015   15.9   0.0   276   355   828   910   822   944 0.86 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 6477at5820           -            409   1.2e-17   62.3   2.2   1   3    0.0084       1.3    6.1   0.0     8    73   138   203   133   216 0.89 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 6477at5820           -            409   1.2e-17   62.3   2.2   2   3       1.5   2.3e+02   -1.2   0.0   160   189   530   560   485   569 0.77 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 6477at5820           -            409   1.2e-17   62.3   2.2   3   3   2.5e-17     4e-15   54.0   0.4   253   345   887   978   877   983 0.92 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 6477at5820           -            409   2.5e-17   61.2  12.1   1   4      0.01       1.7    5.8   0.0    29    66    91   125    72   139 0.80 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 6477at5820           -            409   2.5e-17   61.2  12.1   2   4       1.5   2.5e+02   -1.3   0.0    75   103   320   348   312   368 0.80 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 6477at5820           -            409   2.5e-17   61.2  12.1   3   4   1.5e-07   2.4e-05   21.8   0.0   125   192   429   497   419   508 0.84 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 6477at5820           -            409   2.5e-17   61.2  12.1   4   4   1.1e-10   1.8e-08   32.1   8.0   255   401   764   912   756   923 0.73 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483188.1         -            548 6477at5820           -            409   3.4e-17   60.8  19.6   1   1   8.1e-19   1.3e-16   58.9  19.6    57   388   143   509   131   533 0.66 | transcript=PVW1_030011500_t1 | gene=PVW1_030011500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | transcript_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | location=CAJZCX010000014:336887-338858(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 6477at5820           -            409   4.6e-12   43.9   0.8   1   4       0.8   1.3e+02   -0.4   0.0     9    47   481   520   477   536 0.83 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 6477at5820           -            409   4.6e-12   43.9   0.8   2   4      0.14        22    2.2   0.0    57    80   621   644   614   646 0.89 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 6477at5820           -            409   4.6e-12   43.9   0.8   3   4      0.36        58    0.8   0.0   132   171   902   939   895   965 0.81 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 6477at5820           -            409   4.6e-12   43.9   0.8   4   4   2.7e-11   4.3e-09   34.1   1.3   289   379  1194  1283  1142  1301 0.79 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480550.1         -            744 6477at5820           -            409     1e-09   36.2   2.3   1   3       0.7   1.1e+02   -0.2   0.1    31    68    39    76    12   102 0.77 | transcript=PVW1_070023500_t1 | gene=PVW1_070023500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:843321-845555(+) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480550.1         -            744 6477at5820           -            409     1e-09   36.2   2.3   2   3         1   1.7e+02   -0.8   0.2   267   306    95   139    84   147 0.58 | transcript=PVW1_070023500_t1 | gene=PVW1_070023500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:843321-845555(+) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480550.1         -            744 6477at5820           -            409     1e-09   36.2   2.3   3   3   6.3e-12     1e-09   36.2   2.3   241   367   376   502   350   535 0.83 | transcript=PVW1_070023500_t1 | gene=PVW1_070023500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:843321-845555(+) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475750.1         -           1287 6477at5820           -            409   1.9e-09   35.3   1.1   1   3       0.2        33    1.6   0.0    55    82    69    96    53   117 0.76 | transcript=PVW1_130026600_t1 | gene=PVW1_130026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:971641-975504(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475750.1         -           1287 6477at5820           -            409   1.9e-09   35.3   1.1   2   3   2.1e-10   3.4e-08   31.2   0.7   252   366   282   395   271   418 0.89 | transcript=PVW1_130026600_t1 | gene=PVW1_130026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:971641-975504(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475750.1         -           1287 6477at5820           -            409   1.9e-09   35.3   1.1   3   3       9.4   1.5e+03   -3.9   0.0   287   320   771   805   758   812 0.70 | transcript=PVW1_130026600_t1 | gene=PVW1_130026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:971641-975504(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 6477at5820           -            409   1.2e-06   26.1   2.2   1   4     0.014       2.2    5.4   0.0    29    73   126   171   116   180 0.83 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 6477at5820           -            409   1.2e-06   26.1   2.2   2   4       8.9   1.4e+03   -3.8   0.0    84    99   254   269   250   277 0.83 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 6477at5820           -            409   1.2e-06   26.1   2.2   3   4     0.011       1.8    5.7   0.1   124   198   340   416   323   438 0.79 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 6477at5820           -            409   1.2e-06   26.1   2.2   4   4   8.7e-05     0.014   12.7   0.1   302   366   661   724   561   739 0.88 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6477at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6477at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6477at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:08 2026
# [ok]
