#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472269.1         -            612 4427at5820           -            502         0 1031.3  52.9   1   2   1.4e-63   3.7e-61  205.7  20.7    10   142    44   198    40   234 0.82 | transcript=PVW1_140044700_t1 | gene=PVW1_140044700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 17, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H560] | transcript_product=Pre-mRNA-processing factor 17, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H560] | location=CAJZCX010000003:1690669-1692507(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485109.1         -           1071 4427at5820           -            502   1.3e-05   22.4  16.1   1   5      0.62   1.6e+02   -0.9   0.1   260   410   166   189   121   240 0.55 | transcript=PVW1_010022300_t1 | gene=PVW1_010022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | transcript_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | location=CAJZCX010000016:778155-781370(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485109.1         -           1071 4427at5820           -            502   1.3e-05   22.4  16.1   2   5    0.0026      0.66    6.9   0.2   414   475   320   387   304   406 0.65 | transcript=PVW1_010022300_t1 | gene=PVW1_010022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | transcript_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | location=CAJZCX010000016:778155-781370(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485109.1         -           1071 4427at5820           -            502   1.3e-05   22.4  16.1   3   5   8.7e-06    0.0022   15.1   0.1   228   286   423   480   416   491 0.86 | transcript=PVW1_010022300_t1 | gene=PVW1_010022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | transcript_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | location=CAJZCX010000016:778155-781370(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485109.1         -           1071 4427at5820           -            502   1.3e-05   22.4  16.1   4   5    0.0017      0.43    7.5   0.3   200   291   555   651   522   661 0.51 | transcript=PVW1_010022300_t1 | gene=PVW1_010022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | transcript_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | location=CAJZCX010000016:778155-781370(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485109.1         -           1071 4427at5820           -            502   1.3e-05   22.4  16.1   5   5      0.22        55    0.6   0.2   440   483   724   768   708   784 0.69 | transcript=PVW1_010022300_t1 | gene=PVW1_010022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | transcript_product=Utp12 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K1] | location=CAJZCX010000016:778155-781370(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 4427at5820           -            502   0.00011   19.4   0.0   1   2    0.0082       2.1    5.3   0.0   423   459   200   235   151   244 0.90 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 4427at5820           -            502   0.00011   19.4   0.0   2   2   8.4e-05     0.021   11.8   0.0   211   285   325   400   311   423 0.71 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 4427at5820           -            502   0.00026   18.1   1.9   1   1   4.2e-06    0.0011   16.1   1.9   254   394  1721  1862  1714  1982 0.50 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481550.1         -            638 4427at5820           -            502   0.00029   18.0   4.7   1   3       1.3   3.3e+02   -2.0   0.8   115   133   319   337   287   348 0.55 | transcript=PVW1_060018000_t1 | gene=PVW1_060018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:574179-576095(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481550.1         -            638 4427at5820           -            502   0.00029   18.0   4.7   2   3   0.00024      0.06   10.3   6.6   203   373   332   502   319   525 0.81 | transcript=PVW1_060018000_t1 | gene=PVW1_060018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:574179-576095(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481550.1         -            638 4427at5820           -            502   0.00029   18.0   4.7   3   3     0.051        13    2.6   0.0   199   244   541   585   510   593 0.71 | transcript=PVW1_060018000_t1 | gene=PVW1_060018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:574179-576095(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476733.1         -            468 4427at5820           -            502    0.0006   16.9   1.9   1   3     0.025       6.3    3.7   0.0   215   242   111   138    86   151 0.82 | transcript=PVW1_090021600_t1 | gene=PVW1_090021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Guanine nucleotide-exchange factor SEC12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK6] | transcript_product=Guanine nucleotide-exchange factor SEC12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK6] | location=CAJZCX010000007:768362-769768(-) | protein_length=468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476733.1         -            468 4427at5820           -            502    0.0006   16.9   1.9   2   3   0.00048      0.12    9.3   0.3   250   287   211   248   199   262 0.90 | transcript=PVW1_090021600_t1 | gene=PVW1_090021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Guanine nucleotide-exchange factor SEC12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK6] | transcript_product=Guanine nucleotide-exchange factor SEC12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK6] | location=CAJZCX010000007:768362-769768(-) | protein_length=468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476733.1         -            468 4427at5820           -            502    0.0006   16.9   1.9   3   3      0.22        57    0.5   0.0   207   239   363   394   353   402 0.83 | transcript=PVW1_090021600_t1 | gene=PVW1_090021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Guanine nucleotide-exchange factor SEC12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK6] | transcript_product=Guanine nucleotide-exchange factor SEC12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK6] | location=CAJZCX010000007:768362-769768(-) | protein_length=468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483398.1         -            327 4427at5820           -            502   0.00082   16.5   7.6   1   3    0.0039      0.99    6.3   0.9   254   334     7    86     2   138 0.76 | transcript=PVW1_030019800_t1 | gene=PVW1_030019800 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7I9] | transcript_product=Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7I9] | location=CAJZCX010000014:654686-656107(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483398.1         -            327 4427at5820           -            502   0.00082   16.5   7.6   2   3   6.1e-05     0.016   12.3   0.1   434   499   145   209   126   212 0.81 | transcript=PVW1_030019800_t1 | gene=PVW1_030019800 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7I9] | transcript_product=Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7I9] | location=CAJZCX010000014:654686-656107(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483398.1         -            327 4427at5820           -            502   0.00082   16.5   7.6   3   3      0.19        49    0.7   0.1   252   280   283   311   271   326 0.73 | transcript=PVW1_030019800_t1 | gene=PVW1_030019800 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7I9] | transcript_product=Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7I9] | location=CAJZCX010000014:654686-656107(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478126.1         -            361 4427at5820           -            502   0.00088   16.4   0.3   1   1   4.3e-06    0.0011   16.1   0.3   204   287   183   266   179   354 0.89 | transcript=PVW1_110046900_t1 | gene=PVW1_110046900 | organism=Plasmodium_vivax_PvW1 | gene_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | transcript_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | location=CAJZCX010000008:1767316-1769879(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479910.1         -            222 4427at5820           -            502    0.0019   15.3   3.6   1   1   8.3e-06    0.0021   15.1   3.6   117   196    57   135    38   199 0.83 | transcript=PVW1_050029000_t1 | gene=PVW1_050029000 | organism=Plasmodium_vivax_PvW1 | gene_product=PRESAN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H923] | transcript_product=PRESAN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H923] | location=CAJZCX010000010:1000067-1000909(+) | protein_length=222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4427at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4427at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4427at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:31 2026
# [ok]
