#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473855.1         -            377 7573at5820           -            324  1.2e-213  706.7  37.4   1   2  1.8e-214  2.1e-212  702.6  29.8     3   315    16   329     6   339 0.95 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473946.1         -            877 7573at5820           -            324     9e-15   53.1  14.1   2   2       9.8   1.1e+03   -3.0   0.0   271   296   846   871   842   874 0.88 | transcript=PVW1_120076500_t1 | gene=PVW1_120076500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | location=CAJZCX010000004:3009585-3012218(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 7573at5820           -            324   1.1e-14   52.9   2.2   1   1     2e-16   2.3e-14   51.8   2.2    23   303    72   347    62   368 0.80 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485130.1         -            721 7573at5820           -            324   1.8e-14   52.1   1.6   1   1   3.3e-16   3.7e-14   51.1   1.6    26   290   456   708   445   713 0.75 | transcript=PVW1_010023200_t1 | gene=PVW1_010023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | location=CAJZCX010000016:835802-838807(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 7573at5820           -            324   1.3e-13   49.4   6.2   1   1   2.2e-15   2.5e-13   48.4   6.2    27   238    29   241    19   265 0.73 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479240.1         -           3005 7573at5820           -            324   5.2e-13   47.3   0.0   1   1   7.7e-15   8.7e-13   46.6   0.0    97   299   237   447   229   456 0.84 | transcript=PVW1_080034400_t1 | gene=PVW1_080034400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1290023-1299226(-) | protein_length=3005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482468.1         -           1639 7573at5820           -            324   1.6e-11   42.5   9.5   1   2   8.2e-13   9.2e-11   40.0   8.1    24   167  1126  1266  1120  1280 0.87 | transcript=PVW1_040016500_t1 | gene=PVW1_040016500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:512437-517356(-) | protein_length=1639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482468.1         -           1639 7573at5820           -            324   1.6e-11   42.5   9.5   2   2   0.00033     0.037   11.7   0.0   173   239  1509  1578  1484  1596 0.80 | transcript=PVW1_040016500_t1 | gene=PVW1_040016500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:512437-517356(-) | protein_length=1639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 7573at5820           -            324     4e-11   41.2   0.7   1   1   9.3e-13     1e-10   39.8   0.7     8   298     9   325     5   343 0.71 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473976.1         -           1309 7573at5820           -            324   1.8e-10   39.0   2.4   1   2   2.6e-05    0.0029   15.3   0.3    88   172   921  1001   909  1048 0.66 | transcript=PVW1_120078900_t1 | gene=PVW1_120078900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | location=CAJZCX010000004:3109637-3113566(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473976.1         -           1309 7573at5820           -            324   1.8e-10   39.0   2.4   2   2   1.5e-07   1.7e-05   22.7   0.1   177   242  1082  1150  1069  1160 0.80 | transcript=PVW1_120078900_t1 | gene=PVW1_120078900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | location=CAJZCX010000004:3109637-3113566(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479758.1         -            807 7573at5820           -            324   2.4e-10   38.6  14.8   1   3   0.00088     0.099   10.3   4.2    17   131    24   134    13   137 0.80 | transcript=PVW1_050018200_t1 | gene=PVW1_050018200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | location=CAJZCX010000010:579160-581780(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479758.1         -            807 7573at5820           -            324   2.4e-10   38.6  14.8   2   3   4.7e-06   0.00053   17.8   0.8   108   164   214   269   205   276 0.88 | transcript=PVW1_050018200_t1 | gene=PVW1_050018200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | location=CAJZCX010000010:579160-581780(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479758.1         -            807 7573at5820           -            324   2.4e-10   38.6  14.8   3   3   1.6e-05    0.0017   16.0   0.0   191   250   596   656   570   724 0.80 | transcript=PVW1_050018200_t1 | gene=PVW1_050018200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | location=CAJZCX010000010:579160-581780(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477981.1         -            791 7573at5820           -            324   3.3e-10   38.1   0.1   1   3   2.3e-07   2.5e-05   22.1   0.0   108   181   162   242   145   259 0.81 | transcript=PVW1_110039400_t1 | gene=PVW1_110039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | location=CAJZCX010000008:1466531-1468906(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477981.1         -            791 7573at5820           -            324   3.3e-10   38.1   0.1   2   3    0.0026       0.3    8.7   0.0   208   247   461   500   436   518 0.81 | transcript=PVW1_110039400_t1 | gene=PVW1_110039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | location=CAJZCX010000008:1466531-1468906(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477981.1         -            791 7573at5820           -            324   3.3e-10   38.1   0.1   3   3      0.16        19    2.8   0.0   270   296   553   579   523   588 0.83 | transcript=PVW1_110039400_t1 | gene=PVW1_110039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | location=CAJZCX010000008:1466531-1468906(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 7573at5820           -            324   1.6e-09   35.9   0.2   1   2      0.45        51    1.4   0.0   197   217    20    40     3    45 0.77 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 7573at5820           -            324   1.6e-09   35.9   0.2   2   2   1.6e-10   1.8e-08   32.5   0.0   140   262   113   246    97   287 0.82 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476699.1         -            575 7573at5820           -            324     1e-08   33.2   6.9   1   2   9.1e-08     1e-05   23.4   7.1    11   185   155   325   145   334 0.80 | transcript=PVW1_090019200_t1 | gene=PVW1_090019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | transcript_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | location=CAJZCX010000007:678903-680630(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476699.1         -            575 7573at5820           -            324     1e-08   33.2   6.9   2   2    0.0081      0.91    7.1   0.0   194   225   357   389   343   400 0.75 | transcript=PVW1_090019200_t1 | gene=PVW1_090019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | transcript_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | location=CAJZCX010000007:678903-680630(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 7573at5820           -            324   2.6e-08   31.9   0.3   1   3   0.00072      0.08   10.6   0.4    22    47   792   817   771   879 0.73 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 7573at5820           -            324   2.6e-08   31.9   0.3   2   3   2.3e-10   2.6e-08   31.9   0.3   126   248  1160  1291  1132  1311 0.81 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 7573at5820           -            324   2.6e-08   31.9   0.3   3   3       7.1   7.9e+02   -2.5   0.0   270   296  1343  1369  1339  1375 0.89 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478938.1         -            325 7573at5820           -            324   3.3e-08   31.6  11.2   1   1   6.3e-10   7.1e-08   30.5  11.2    32   241    14   232     4   241 0.73 | transcript=PVW1_080019800_t1 | gene=PVW1_080019800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW90] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW90] | location=CAJZCX010000009:688257-689234(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479037.1         -            327 7573at5820           -            324   3.8e-08   31.4   0.1   1   1   5.5e-10   6.2e-08   30.7   0.1   104   298    93   283    71   304 0.77 | transcript=PVW1_080024100_t1 | gene=PVW1_080024100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWH9] | location=CAJZCX010000009:876179-877497(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484024.1         -           3309 7573at5820           -            324   7.1e-08   30.5   7.1   1   2     3e-07   3.4e-05   21.7   0.7   102   182  3077  3153  3063  3166 0.85 | transcript=PVW1_020015000_t1 | gene=PVW1_020015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:447185-458437(-) | protein_length=3309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484024.1         -           3309 7573at5820           -            324   7.1e-08   30.5   7.1   2   2   0.00031     0.035   11.8   0.0   196   293  3208  3298  3197  3308 0.77 | transcript=PVW1_020015000_t1 | gene=PVW1_020015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:447185-458437(-) | protein_length=3309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 7573at5820           -            324   7.2e-08   30.5   1.8   1   1   3.2e-09   3.6e-07   28.2   1.8    10   236   740   965   731   975 0.70 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 7573at5820           -            324   5.8e-07   27.5   4.8   1   3       1.2   1.4e+02   -0.1   0.1    25    89   649   712   639   719 0.83 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 7573at5820           -            324   5.8e-07   27.5   4.8   2   3     1e-08   1.1e-06   26.5   0.1   128   248   910  1027   901  1038 0.81 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 7573at5820           -            324   5.8e-07   27.5   4.8   3   3       1.1   1.3e+02    0.1   0.1   245   296  1058  1113  1050  1137 0.83 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479357.1         -           1399 7573at5820           -            324   3.4e-06   25.0   4.0   1   3     0.001      0.12   10.0   1.2    26   164    52   214    34   221 0.55 | transcript=PVW1_080043400_t1 | gene=PVW1_080043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1649599-1653798(-) | protein_length=1399 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479357.1         -           1399 7573at5820           -            324   3.4e-06   25.0   4.0   2   3    0.0011      0.13    9.9   0.0   200   242   723   765   706   794 0.85 | transcript=PVW1_080043400_t1 | gene=PVW1_080043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1649599-1653798(-) | protein_length=1399 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479357.1         -           1399 7573at5820           -            324   3.4e-06   25.0   4.0   3   3       0.7        79    0.8   0.0   270   297   836   863   828   888 0.76 | transcript=PVW1_080043400_t1 | gene=PVW1_080043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1649599-1653798(-) | protein_length=1399 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 7573at5820           -            324   0.00015   19.5   1.7   1   3     0.078       8.8    3.9   2.1    27    78   119   169   109   182 0.73 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 7573at5820           -            324   0.00015   19.5   1.7   2   3       3.5   3.9e+02   -1.5   0.0   137   164   911   938   900   956 0.77 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 7573at5820           -            324   0.00015   19.5   1.7   3   3   0.00039     0.044   11.4   0.0   191   235  1051  1095  1028  1103 0.85 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7573at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7573at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7573at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:11 2026
# [ok]
