#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473936.1         -            528 5868at5820           -            452  2.3e-298  987.4   0.5   1   1  1.9e-300  2.8e-298  987.1   0.5     6   448    56   515    52   528 0.97 | transcript=PVW1_120076000_t1 | gene=PVW1_120076000 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | transcript_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | location=CAJZCX010000004:2982516-2985951(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 5868at5820           -            452   1.9e-17   61.4   0.7   1   2   2.3e-09   3.3e-07   27.7   0.1    76   147   114   188   104   295 0.76 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 5868at5820           -            452   1.9e-17   61.4   0.7   2   2   1.2e-10   1.8e-08   31.8   0.0   362   420   513   571   508   601 0.83 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480550.1         -            744 5868at5820           -            452   3.8e-15   53.8   0.3   1   1   5.3e-17   7.7e-15   52.8   0.3   298   424   383   507   350   525 0.81 | transcript=PVW1_070023500_t1 | gene=PVW1_070023500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:843321-845555(+) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 5868at5820           -            452   8.9e-12   42.7   2.6   1   3      0.79   1.1e+02   -0.5   0.0    63   103    83   120    69   132 0.74 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 5868at5820           -            452   8.9e-12   42.7   2.6   2   3       3.3   4.7e+02   -2.5   0.0   173   219   430   480   424   495 0.72 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484692.1         -           1051 5868at5820           -            452   8.9e-12   42.7   2.6   3   3   1.8e-13   2.6e-11   41.2   0.9   304   435   763   901   754   920 0.79 | transcript=PVW1_010009900_t1 | gene=PVW1_010009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:286228-289383(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 5868at5820           -            452   5.8e-11   40.0   0.8   1   3   2.4e-08   3.5e-06   24.3   0.1    52   248   215   427   197   443 0.77 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 5868at5820           -            452   5.8e-11   40.0   0.8   2   3       3.5   5.1e+02   -2.6   0.1   278   325   647   700   640   715 0.62 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 5868at5820           -            452   5.8e-11   40.0   0.8   3   3     5e-05    0.0072   13.3   0.0   327   405   830   911   821   924 0.86 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475750.1         -           1287 5868at5820           -            452   1.2e-09   35.7   0.3   1   1   1.3e-11   1.8e-09   35.1   0.3   267   415   239   395    55   415 0.73 | transcript=PVW1_130026600_t1 | gene=PVW1_130026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:971641-975504(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476543.1         -           1396 5868at5820           -            452     2e-08   31.7   0.7   1   2     2e-09   2.9e-07   27.8   0.3   279   393   612   735   608   760 0.81 | transcript=PVW1_090010100_t1 | gene=PVW1_090010100 | organism=Plasmodium_vivax_PvW1 | gene_product=Chromatin remodeling protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX54] | transcript_product=Chromatin remodeling protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX54] | location=CAJZCX010000007:307986-312941(-) | protein_length=1396 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476543.1         -           1396 5868at5820           -            452     2e-08   31.7   0.7   2   2      0.23        33    1.3   0.0   286   339  1242  1294  1234  1314 0.81 | transcript=PVW1_090010100_t1 | gene=PVW1_090010100 | organism=Plasmodium_vivax_PvW1 | gene_product=Chromatin remodeling protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX54] | transcript_product=Chromatin remodeling protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX54] | location=CAJZCX010000007:307986-312941(-) | protein_length=1396 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 5868at5820           -            452   3.3e-05   21.1   0.1   1   2      0.16        24    1.8   0.0   174   200   247   274   238   279 0.57 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471948.1         -            790 5868at5820           -            452   3.3e-05   21.1   0.1   2   2   9.6e-06    0.0014   15.7   0.0   349   402   658   711   627   726 0.88 | transcript=PVW1_140020600_t1 | gene=PVW1_140020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:694541-696913(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 5868at5820           -            452   6.3e-05   20.1   0.7   1   3       6.1   8.8e+02   -3.4   0.0    99   116   621   638   618   642 0.88 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 5868at5820           -            452   6.3e-05   20.1   0.7   2   3      0.96   1.4e+02   -0.8   0.0   178   212   901   936   898   941 0.86 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484145.1         -           1452 5868at5820           -            452   6.3e-05   20.1   0.7   3   3   2.4e-06   0.00034   17.7   0.1   351   403  1207  1259  1145  1273 0.88 | transcript=PVW1_020018700_t1 | gene=PVW1_020018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:599136-603856(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481457.1         -           3266 5868at5820           -            452    0.0012   15.9   0.2   1   1   1.9e-05    0.0027   14.8   0.2   280   393  1698  1820  1664  1871 0.81 | transcript=PVW1_060015500_t1 | gene=PVW1_060015500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:463219-473019(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479780.1         -           1760 5868at5820           -            452    0.0025   14.9   0.4   1   1   3.3e-05    0.0048   13.9   0.4   286   393  1365  1480  1355  1499 0.86 | transcript=PVW1_050019300_t1 | gene=PVW1_050019300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:628388-634139(+) | protein_length=1760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471964.1         -            214 5868at5820           -            452    0.0056   13.7   0.8   1   2   6.7e-05    0.0097   12.9   0.2    35    83    27    75    17    82 0.82 | transcript=PVW1_140022200_t1 | gene=PVW1_140022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:765011-765995(+) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471964.1         -            214 5868at5820           -            452    0.0056   13.7   0.8   2   2         2   2.9e+02   -1.8   0.0    92   118   119   148   110   161 0.76 | transcript=PVW1_140022200_t1 | gene=PVW1_140022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:765011-765995(+) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5868at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5868at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5868at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:51 2026
# [ok]
