#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473309.1         -            305 8818at5820           -            267  2.9e-160  530.3   9.9   1   1  6.2e-162  6.1e-160  529.2   9.9     1   267     5   295     5   295 0.97 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473995.1         -           2433 8818at5820           -            267   1.9e-19   68.6   2.7   1   1   1.2e-19   1.1e-17   62.8   2.7     3   267   117   403   115   403 0.76 | transcript=PVW1_120080600_t1 | gene=PVW1_120080600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3191638-3199719(-) | protein_length=2433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484024.1         -           3309 8818at5820           -            267   3.5e-18   64.4   4.2   1   2   7.3e-17   7.1e-15   53.6   1.9    89   161  3078  3151  3059  3156 0.89 | transcript=PVW1_020015000_t1 | gene=PVW1_020015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:447185-458437(-) | protein_length=3309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484024.1         -           3309 8818at5820           -            267   3.5e-18   64.4   4.2   2   2    0.0021       0.2    9.5   0.0   168   204  3207  3242  3201  3250 0.88 | transcript=PVW1_020015000_t1 | gene=PVW1_020015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:447185-458437(-) | protein_length=3309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 8818at5820           -            267   3.8e-18   64.3  11.7   1   1   2.1e-19   2.1e-17   61.9  11.7     9   265   112   361   104   363 0.82 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 8818at5820           -            267   5.8e-18   63.7  19.4   1   3   2.5e-15   2.5e-13   48.5   8.8     4   162    34   185    32   196 0.78 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 8818at5820           -            267   5.8e-18   63.7  19.4   2   3   2.1e-06    0.0002   19.3   0.1   168   265   346   444   283   446 0.76 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 8818at5820           -            267   5.8e-18   63.7  19.4   3   3      0.81        79    1.0   0.4    76   110   477   513   455   537 0.80 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476883.1         -           1607 8818at5820           -            267   1.5e-17   62.4   9.5   1   1     5e-19   4.9e-17   60.7   9.5    33   217  1192  1372  1163  1383 0.67 | transcript=PVW1_090028000_t1 | gene=PVW1_090028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1030038-1035762(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477699.1         -           4000 8818at5820           -            267   4.7e-16   57.5   4.0   1   1   1.2e-17   1.2e-15   56.1   4.0    13   256  1195  1430  1186  1441 0.71 | transcript=PVW1_110020600_t1 | gene=PVW1_110020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:667058-679060(-) | protein_length=4000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480821.1         -            341 8818at5820           -            267   8.4e-16   56.6   2.8   1   1     7e-17   6.8e-15   53.6   2.8     4   253    32   271    29   290 0.77 | transcript=PVW1_070040400_t1 | gene=PVW1_070040400 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | location=CAJZCX010000011:1462955-1464722(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 8818at5820           -            267   1.7e-15   55.6   6.2   1   1   1.4e-16   1.4e-14   52.6   6.2    11   265   117   364   106   365 0.71 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482791.1         -           2121 8818at5820           -            267   2.5e-15   55.1   3.8   1   1     1e-16     1e-14   53.1   3.8    26   214  1717  1901  1713  1920 0.75 | transcript=PVW1_040028500_t1 | gene=PVW1_040028500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:973804-980169(+) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480634.1         -           3239 8818at5820           -            267   3.3e-15   54.7   2.0   1   1   7.3e-17   7.2e-15   53.6   2.0     9   259  2946  3223  2940  3229 0.70 | transcript=PVW1_070031000_t1 | gene=PVW1_070031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1133837-1143556(-) | protein_length=3239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 8818at5820           -            267   4.4e-15   54.3  14.6   1   3     0.043       4.2    5.2   1.4     9    83   464   551   457   561 0.68 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 8818at5820           -            267   4.4e-15   54.3  14.6   2   3   4.8e-17   4.7e-15   54.2   4.0    68   204   571   718   556   775 0.71 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 8818at5820           -            267   4.4e-15   54.3  14.6   3   3       8.3   8.1e+02   -2.3   0.0   137   154   890   907   878   915 0.81 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479357.1         -           1399 8818at5820           -            267   6.9e-15   53.6   0.9   1   2   4.2e-06   0.00041   18.3   0.1    91   148   153   214   129   220 0.84 | transcript=PVW1_080043400_t1 | gene=PVW1_080043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1649599-1653798(-) | protein_length=1399 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479357.1         -           1399 8818at5820           -            267   6.9e-15   53.6   0.9   2   2   1.5e-10   1.5e-08   32.9   0.0   145   227   692   782   673   813 0.77 | transcript=PVW1_080043400_t1 | gene=PVW1_080043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1649599-1653798(-) | protein_length=1399 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 8818at5820           -            267   9.7e-15   53.1  22.8   1   5       6.1     6e+02   -1.9   0.2   215   243   741   769   727   779 0.83 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 8818at5820           -            267   9.7e-15   53.1  22.8   2   5     0.094       9.2    4.0   0.1     5    73   798   870   794   896 0.75 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 8818at5820           -            267   9.7e-15   53.1  22.8   3   5      0.18        18    3.1   3.8    61   137  1054  1140  1043  1153 0.67 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 8818at5820           -            267   9.7e-15   53.1  22.8   4   5   1.9e-15   1.9e-13   49.0   0.7   115   223  1165  1292  1155  1313 0.77 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 8818at5820           -            267   9.7e-15   53.1  22.8   5   5    0.0058      0.57    8.0   0.0   239   267  1342  1370  1308  1370 0.86 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485130.1         -            721 8818at5820           -            267   2.6e-14   51.7   2.3   1   1   5.2e-16   5.1e-14   50.8   2.3     4   211   457   658   454   710 0.74 | transcript=PVW1_010023200_t1 | gene=PVW1_010023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | location=CAJZCX010000016:835802-838807(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 8818at5820           -            267   7.7e-14   50.2   0.6   1   1   1.6e-14   1.6e-12   45.9   0.6    93   205   840   960   755   978 0.70 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473946.1         -            877 8818at5820           -            267   4.1e-13   47.8   7.6   1   2   4.5e-06   0.00044   18.2   6.3     9   148   552   682   545   693 0.83 | transcript=PVW1_120076500_t1 | gene=PVW1_120076500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | location=CAJZCX010000004:3009585-3012218(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473946.1         -            877 8818at5820           -            267   4.1e-13   47.8   7.6   2   2   5.9e-09   5.8e-07   27.7   0.0   140   223   699   784   691   793 0.83 | transcript=PVW1_120076500_t1 | gene=PVW1_120076500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | location=CAJZCX010000004:3009585-3012218(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 8818at5820           -            267   4.1e-12   44.5  10.3   1   2     6e-08   5.8e-06   24.4   6.0    77   147   264   343   232   356 0.72 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 8818at5820           -            267   4.1e-12   44.5  10.3   2   2   5.5e-07   5.4e-05   21.2   0.0   151   266   395   511   382   512 0.74 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 8818at5820           -            267     7e-12   43.8   0.0   1   1   1.5e-13   1.4e-11   42.7   0.0   110   212   143   251    71   324 0.75 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482468.1         -           1639 8818at5820           -            267   8.7e-12   43.5  12.9   1   2   8.5e-12   8.3e-10   37.0   7.7    10   150  1135  1265  1128  1277 0.82 | transcript=PVW1_040016500_t1 | gene=PVW1_040016500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:512437-517356(-) | protein_length=1639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482468.1         -           1639 8818at5820           -            267   8.7e-12   43.5  12.9   2   2    0.0054      0.53    8.1   0.0   174   266  1541  1636  1527  1637 0.73 | transcript=PVW1_040016500_t1 | gene=PVW1_040016500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:512437-517356(-) | protein_length=1639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 8818at5820           -            267   9.7e-12   43.3   8.6   1   2   4.6e-08   4.5e-06   24.7   4.2    92   149   342   401   281   407 0.72 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 8818at5820           -            267   9.7e-12   43.3   8.6   2   2   1.1e-06    0.0001   20.3   0.1   167   255   531   625   520   637 0.75 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472547.1         -            730 8818at5820           -            267   3.6e-11   41.4  14.4   1   1   6.3e-12   6.1e-10   37.4  14.4    11   233    30   263    26   291 0.71 | transcript=PVW1_140071100_t1 | gene=PVW1_140071100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL76] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL76] | location=CAJZCX010000003:2831879-2834071(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475310.1         -            296 8818at5820           -            267   5.2e-11   40.9   4.2   1   1   1.3e-12   1.2e-10   39.7   4.2    87   211    94   222    47   272 0.72 | transcript=PVW1_130007500_t1 | gene=PVW1_130007500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A046] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A046] | location=CAJZCX010000006:122002-122892(-) | protein_length=296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476842.1         -           1535 8818at5820           -            267   3.6e-10   38.2   4.5   1   2    0.0055      0.54    8.1   0.6     4    68   175   232   172   270 0.84 | transcript=PVW1_090026500_t1 | gene=PVW1_090026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:954865-959621(-) | protein_length=1535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476842.1         -           1535 8818at5820           -            267   3.6e-10   38.2   4.5   2   2   4.7e-10   4.6e-08   31.3   0.2   119   222   346   454   332   480 0.76 | transcript=PVW1_090026500_t1 | gene=PVW1_090026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:954865-959621(-) | protein_length=1535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 8818at5820           -            267   1.5e-09   36.2   0.8   1   1   1.5e-11   1.5e-09   36.2   0.8     6   265    78   339    73   341 0.74 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 8818at5820           -            267   1.2e-08   33.1   0.0   1   3       7.6   7.4e+02   -2.2   0.0     9    43   405   442   399   456 0.71 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 8818at5820           -            267   1.2e-08   33.1   0.0   2   3   2.7e-08   2.6e-06   25.5   0.0   105   218   521   649   516   670 0.75 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 8818at5820           -            267   1.2e-08   33.1   0.0   3   3     0.073       7.2    4.4   0.0   239   266   868   895   857   896 0.90 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484650.1         -           1251 8818at5820           -            267   6.1e-08   30.9  13.2   1   2   6.3e-10   6.1e-08   30.9  13.2     4   162   732   880   729   896 0.87 | transcript=PVW1_010008800_t1 | gene=PVW1_010008800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:215451-219206(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484650.1         -           1251 8818at5820           -            267   6.1e-08   30.9  13.2   2   2       3.9   3.8e+02   -1.3   0.1   185   212  1110  1139  1093  1222 0.72 | transcript=PVW1_010008800_t1 | gene=PVW1_010008800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:215451-219206(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473154.1         -           1736 8818at5820           -            267   1.5e-07   29.6   0.0   1   1   3.1e-09   3.1e-07   28.6   0.0   122   212  1568  1664  1507  1704 0.82 | transcript=PVW1_120020100_t1 | gene=PVW1_120020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:679468-684678(-) | protein_length=1736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 8818at5820           -            267   2.9e-06   25.4   0.1   1   1   6.1e-08     6e-06   24.3   0.1   110   160    99   152    87   184 0.76 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485026.1         -           1405 8818at5820           -            267   1.3e-05   23.2   1.6   1   1   2.5e-07   2.4e-05   22.3   1.6    91   162  1169  1246  1140  1256 0.77 | transcript=PVW1_010019200_t1 | gene=PVW1_010019200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:631829-636285(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479240.1         -           3005 8818at5820           -            267   7.9e-05   20.7   0.3   1   1   1.9e-06   0.00019   19.4   0.3    99   212   254   385   239   445 0.63 | transcript=PVW1_080034400_t1 | gene=PVW1_080034400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1290023-1299226(-) | protein_length=3005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 8818at5820           -            267   0.00012   20.0   0.3   1   2   9.5e-05    0.0093   13.9   0.0   116   158   906   949   896   957 0.82 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 8818at5820           -            267   0.00012   20.0   0.3   2   2      0.23        22    2.8   0.0   174   207  1061  1093  1048  1100 0.83 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473396.1         -            522 8818at5820           -            267    0.0004   18.3   0.5   1   1   1.1e-05    0.0011   16.9   0.5   121   158   354   392   339   473 0.87 | transcript=PVW1_120038000_t1 | gene=PVW1_120038000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP8] | location=CAJZCX010000004:1381863-1383431(+) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 8818at5820           -            267     0.024   12.5   0.0   1   2    0.0023      0.22    9.4   0.0   108   174  1076  1143  1054  1161 0.88 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 8818at5820           -            267     0.024   12.5   0.0   2   2       1.5   1.5e+02    0.1   0.0   173   206  1216  1249  1204  1259 0.84 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8818at5820.hmm
