#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472320.1         -            110 14892at5820          -             86   7.6e-60  197.7   1.7   1   1   4.3e-62   8.9e-60  197.5   1.7     1    86    20   105    20   105 0.99 | transcript=PVW1_140049400_t1 | gene=PVW1_140049400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | location=CAJZCX010000003:1934377-1934965(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481390.1         -           1527 14892at5820          -             86     0.025   13.4   0.0   1   1   0.00037     0.078   11.8   0.0     3    65   439   508   437   514 0.79 | transcript=PVW1_060013500_t1 | gene=PVW1_060013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:379938-384651(+) | protein_length=1527 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474926.1         -            316 14892at5820          -             86     0.026   13.4   0.0   1   1   0.00027     0.057   12.3   0.0     1    64    14    77    14    86 0.88 | transcript=PVW1_100040800_t1 | gene=PVW1_100040800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | transcript_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | location=CAJZCX010000005:1653998-1655155(+) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483553.1         -           1347 14892at5820          -             86     0.037   12.8   0.8   1   2       2.6   5.4e+02   -0.5   0.1     7    67   165   221   159   246 0.76 | transcript=PVW1_030026900_t1 | gene=PVW1_030026900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:918626-923212(-) | protein_length=1347 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483553.1         -           1347 14892at5820          -             86     0.037   12.8   0.8   2   2    0.0012      0.24   10.2   0.1     7    70   911   971   907   987 0.85 | transcript=PVW1_030026900_t1 | gene=PVW1_030026900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:918626-923212(-) | protein_length=1347 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14892at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14892at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14892at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:34 2026
# [ok]
