#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473942.1         -            786 7357at5820           -            357  4.9e-172  570.4  36.7   1   5   6.3e-69   1.2e-66  223.7   1.4     1   114     1   113     1   135 0.93 | transcript=PVW1_120076300_t1 | gene=PVW1_120076300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | location=CAJZCX010000004:2999228-3002288(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472320.1         -            110 7357at5820           -            357   8.8e-05   20.2   0.0   1   1   5.6e-07    0.0001   20.0   0.0    27   114    11    96     4   109 0.75 | transcript=PVW1_140049400_t1 | gene=PVW1_140049400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | location=CAJZCX010000003:1934377-1934965(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477027.1         -            962 7357at5820           -            357   0.00011   19.9   0.0   1   1   9.6e-07   0.00018   19.2   0.0    20   111   734   834   719   844 0.74 | transcript=PVW1_090037400_t1 | gene=PVW1_090037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1415681-1418569(-) | protein_length=962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479889.1         -            236 7357at5820           -            357   0.00012   19.8   0.5   1   1   1.1e-06    0.0002   19.0   0.5    30   134    34   139    18   179 0.76 | transcript=PVW1_050027200_t1 | gene=PVW1_050027200 | organism=Plasmodium_vivax_PvW1 | gene_product=Nuclear cap-binding protein subunit 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN2] | transcript_product=Nuclear cap-binding protein subunit 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN2] | location=CAJZCX010000010:924537-925395(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478745.1         -            250 7357at5820           -            357   0.00018   19.2  12.0   1   2     0.021       3.9    4.9   7.4    76   144    66   135    55   154 0.80 | transcript=PVW1_080011800_t1 | gene=PVW1_080011800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | location=CAJZCX010000009:336242-337833(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478745.1         -            250 7357at5820           -            357   0.00018   19.2  12.0   2   2     5e-06   0.00091   16.9   0.1    21   107   163   248   155   250 0.91 | transcript=PVW1_080011800_t1 | gene=PVW1_080011800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | location=CAJZCX010000009:336242-337833(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481466.1         -            181 7357at5820           -            357     0.001   16.7   0.3   1   1   7.1e-06    0.0013   16.3   0.3    28   113    74   161    54   180 0.72 | transcript=PVW1_060015800_t1 | gene=PVW1_060015800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU96] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU96] | location=CAJZCX010000012:489855-490400(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476786.1         -            316 7357at5820           -            357    0.0016   16.1   1.1   1   2   8.4e-06    0.0016   16.1   1.1    44   113    84   152    75   213 0.67 | transcript=PVW1_090024500_t1 | gene=PVW1_090024500 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | transcript_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | location=CAJZCX010000007:873038-873988(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476786.1         -            316 7357at5820           -            357    0.0016   16.1   1.1   2   2       4.5   8.2e+02   -2.7   1.4   130   132   268   270   215   305 0.49 | transcript=PVW1_090024500_t1 | gene=PVW1_090024500 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | transcript_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | location=CAJZCX010000007:873038-873988(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476962.1         -           1054 7357at5820           -            357    0.0042   14.7   0.1   1   1   2.3e-05    0.0042   14.7   0.1    32   139     8   118     4   138 0.81 | transcript=PVW1_090032200_t1 | gene=PVW1_090032200 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD15] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD15] | location=CAJZCX010000007:1220705-1223869(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 7357at5820           -            357     0.016   12.8   0.1   1   3     0.021       3.8    4.9   1.1    25   113   631   716   613   728 0.80 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 7357at5820           -            357     0.016   12.8   0.1   2   3   8.5e-05     0.016   12.8   0.1    41   109   746   814   743   851 0.91 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 7357at5820           -            357     0.016   12.8   0.1   3   3      0.62   1.1e+02    0.1   0.0    52   104   964  1012   956  1018 0.76 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474926.1         -            316 7357at5820           -            357     0.083   10.4   0.0   1   2   0.00045     0.083   10.4   0.0    32   118    10    93     4   104 0.87 | transcript=PVW1_100040800_t1 | gene=PVW1_100040800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | transcript_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | location=CAJZCX010000005:1653998-1655155(+) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474926.1         -            316 7357at5820           -            357     0.083   10.4   0.0   2   2       6.1   1.1e+03   -3.2   1.1   128   142   203   217   171   242 0.56 | transcript=PVW1_100040800_t1 | gene=PVW1_100040800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | transcript_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | location=CAJZCX010000005:1653998-1655155(+) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483368.1         -           1045 7357at5820           -            357       6.7    4.1  11.4   1   2       5.6     1e+03   -3.0   0.0    71   103   628   659   616   663 0.84 | transcript=PVW1_030019000_t1 | gene=PVW1_030019000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:629998-633135(+) | protein_length=1045 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483368.1         -           1045 7357at5820           -            357       6.7    4.1  11.4   2   2   0.00019     0.035   11.6   0.2    29    93   718   781   702   820 0.83 | transcript=PVW1_030019000_t1 | gene=PVW1_030019000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:629998-633135(+) | protein_length=1045 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7357at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7357at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7357at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:09 2026
# [ok]
