#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479126.1         -           1391 1133at5820           -           1080         0 1824.0 108.0   1   2   2.4e-78   4.7e-76  255.1  45.7     1   327     1   486     1   494 0.86 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 1133at5820           -           1080   1.3e-09   35.2  13.2   1   3      0.39        76   -0.5   0.2   564   627   126   182   105   188 0.76 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 1133at5820           -           1080   1.3e-09   35.2  13.2   2   3   1.2e-08   2.4e-06   24.3   1.1   849   979   212   329   189   339 0.84 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 1133at5820           -           1080   1.3e-09   35.2  13.2   3   3     5e-07   9.8e-05   19.0   0.6  1010  1060   329   378   325   399 0.81 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 1133at5820           -           1080   3.6e-09   33.7   0.6   1   2   6.9e-07   0.00014   18.5   0.1   831   886   288   343   283   355 0.88 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 1133at5820           -           1080   3.6e-09   33.7   0.6   2   2   2.9e-05    0.0056   13.2   0.1   901   978   394   472   372   492 0.81 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 1133at5820           -           1080     2e-08   31.2   3.9   1   1     1e-10     2e-08   31.2   3.9   846   967   200   309   147   326 0.78 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 1133at5820           -           1080     4e-08   30.2   0.0   1   2   8.1e-05     0.016   11.7   0.0   858   963   535   635   526   646 0.81 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 1133at5820           -           1080     4e-08   30.2   0.0   2   2   4.5e-06   0.00089   15.8   0.0  1030  1058   867   895   856   896 0.88 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473855.1         -            377 1133at5820           -           1080   3.5e-07   27.1   2.3   1   3   0.00015     0.028   10.8   0.9   554   576    37    59    33   107 0.88 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473855.1         -            377 1133at5820           -           1080   3.5e-07   27.1   2.3   2   3   1.8e-09   3.5e-07   27.1   2.3   849   979   140   261   109   274 0.84 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473855.1         -            377 1133at5820           -           1080   3.5e-07   27.1   2.3   3   3       2.1   4.1e+02   -2.9   0.0  1032  1058   284   310   279   322 0.89 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 1133at5820           -           1080   2.5e-06   24.3   1.1   1   2       2.6   5.1e+02   -3.2   0.1   559   602    12    53    11    78 0.60 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 1133at5820           -           1080   2.5e-06   24.3   1.1   2   2   1.4e-08   2.8e-06   24.1   0.1   852   961   112   206    96   220 0.82 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482791.1         -           2121 1133at5820           -           1080   1.8e-05   21.4   0.8   1   1   3.4e-07   6.6e-05   19.6   0.8   858   970  1800  1899  1784  1910 0.77 | transcript=PVW1_040028500_t1 | gene=PVW1_040028500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:973804-980169(+) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475865.1         -            284 1133at5820           -           1080   6.7e-05   19.6  17.7   1   3      0.57   1.1e+02   -1.0   6.7   558   630    21    91     4    97 0.77 | transcript=PVW1_130031900_t1 | gene=PVW1_130031900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | location=CAJZCX010000006:1185176-1187295(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475865.1         -            284 1133at5820           -           1080   6.7e-05   19.6  17.7   2   3   0.00011     0.023   11.2  12.6   791   972    54   226    51   238 0.67 | transcript=PVW1_130031900_t1 | gene=PVW1_130031900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | location=CAJZCX010000006:1185176-1187295(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475865.1         -            284 1133at5820           -           1080   6.7e-05   19.6  17.7   3   3    0.0006      0.12    8.8   0.0  1026  1058   248   280   243   283 0.93 | transcript=PVW1_130031900_t1 | gene=PVW1_130031900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | location=CAJZCX010000006:1185176-1187295(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 1133at5820           -           1080   0.00022   17.8   1.9   1   2      0.16        32    0.7   0.1   557   579     7    29     4    51 0.82 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 1133at5820           -           1080   0.00022   17.8   1.9   2   2   4.4e-06   0.00086   15.9   0.2   860   887   110   137   100   153 0.87 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 1133at5820           -           1080    0.0071   12.8   2.8   1   2      0.56   1.1e+02   -1.0   1.2   360   444    45   132     9   144 0.53 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 1133at5820           -           1080    0.0071   12.8   2.8   2   2    0.0004     0.079    9.4   0.0   872  1063   167   328   147   341 0.63 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472203.1         -            118 1133at5820           -           1080     0.016   11.7   0.4   1   1   9.3e-05     0.018   11.5   0.4   310   398    11   102     2   114 0.68 | transcript=PVW1_140038300_t1 | gene=PVW1_140038300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1464972-1465472(-) | protein_length=118 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 1133at5820           -           1080     0.021   11.3  18.6   1   2   6.1e-05     0.012   12.1  12.9   776   889   283   402   245   408 0.66 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 1133at5820           -           1080     0.021   11.3  18.6   2   2     0.086        17    1.7   0.3   929   966   535   571   527   576 0.79 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479240.1         -           3005 1133at5820           -           1080     0.027   10.9   0.1   1   2      0.35        69   -0.4   0.1   850   960   268   375   236   378 0.66 | transcript=PVW1_080034400_t1 | gene=PVW1_080034400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1290023-1299226(-) | protein_length=3005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479240.1         -           3005 1133at5820           -           1080     0.027   10.9   0.1   2   2     0.001       0.2    8.0   0.0  1026  1059   412   445   404   458 0.88 | transcript=PVW1_080034400_t1 | gene=PVW1_080034400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1290023-1299226(-) | protein_length=3005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1133at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1133at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1133at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:09 2026
# [ok]
