#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475310.1         -            296 9902at5820           -            263  5.8e-151  499.8  22.9   1   1  5.3e-153  6.6e-151  499.7  22.9     1   263     1   277     1   277 0.97 | transcript=PVW1_130007500_t1 | gene=PVW1_130007500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A046] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A046] | location=CAJZCX010000006:122002-122892(-) | protein_length=296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 9902at5820           -            263   4.7e-08   31.4   0.2   2   2   4.9e-09   6.1e-07   27.7   0.0   124   170   532   581   503   588 0.83 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479037.1         -            327 9902at5820           -            263   6.5e-08   30.9   4.4   1   1   7.3e-10     9e-08   30.4   4.4     4   237     3   248     1   262 0.78 | transcript=PVW1_080024100_t1 | gene=PVW1_080024100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWH9] | location=CAJZCX010000009:876179-877497(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 9902at5820           -            263     8e-08   30.6   0.9   1   1   1.4e-09   1.8e-07   29.5   0.9    40   171    97   225    53   233 0.77 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 9902at5820           -            263   7.6e-07   27.4   5.4   1   2   1.2e-08   1.5e-06   26.4   3.7    63   210    67   238    61   266 0.68 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 9902at5820           -            263   7.6e-07   27.4   5.4   2   2       7.8   9.6e+02   -2.4   0.0   230   257   303   330   298   333 0.78 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473976.1         -           1309 9902at5820           -            263   1.6e-06   26.4   4.8   1   2   4.5e-07   5.6e-05   21.3   1.2    77   159   918   996   912  1018 0.82 | transcript=PVW1_120078900_t1 | gene=PVW1_120078900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | location=CAJZCX010000004:3109637-3113566(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473976.1         -           1309 9902at5820           -            263   1.6e-06   26.4   4.8   2   2     0.032       3.9    5.4   0.1   156   211  1081  1144  1068  1158 0.68 | transcript=PVW1_120078900_t1 | gene=PVW1_120078900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | location=CAJZCX010000004:3109637-3113566(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 9902at5820           -            263     4e-06   25.0   8.9   1   2   1.2e-06   0.00015   19.9   4.9    70   161   318   405   271   411 0.84 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 9902at5820           -            263     4e-06   25.0   8.9   2   2     0.014       1.7    6.5   0.1   173   230   532   590   524   599 0.82 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480821.1         -            341 9902at5820           -            263   1.5e-05   23.2   0.1   1   1   3.2e-07     4e-05   21.8   0.1    60   221    75   240    62   276 0.73 | transcript=PVW1_070040400_t1 | gene=PVW1_070040400 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | location=CAJZCX010000011:1462955-1464722(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480634.1         -           3239 9902at5820           -            263   2.2e-05   22.6   4.6   1   2   2.7e-05    0.0034   15.4   2.4    62   172  2985  3102  2977  3114 0.84 | transcript=PVW1_070031000_t1 | gene=PVW1_070031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1133837-1143556(-) | protein_length=3239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480634.1         -           3239 9902at5820           -            263   2.2e-05   22.6   4.6   2   2     0.012       1.4    6.8   0.0   185   225  3136  3179  3126  3199 0.75 | transcript=PVW1_070031000_t1 | gene=PVW1_070031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1133837-1143556(-) | protein_length=3239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482468.1         -           1639 9902at5820           -            263   2.6e-05   22.4   3.6   1   1   3.5e-07   4.3e-05   21.6   2.9    57   159  1167  1266  1122  1282 0.76 | transcript=PVW1_040016500_t1 | gene=PVW1_040016500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:512437-517356(-) | protein_length=1639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475779.1         -           2218 9902at5820           -            263   0.00023   19.2   0.7   1   3       7.3     9e+02   -2.3   0.0    38    58   488   508   481   522 0.77 | transcript=PVW1_130028000_t1 | gene=PVW1_130028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1022418-1029863(-) | protein_length=2218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475779.1         -           2218 9902at5820           -            263   0.00023   19.2   0.7   2   3   1.9e-06   0.00023   19.2   0.7    88   159   934  1002   925  1030 0.83 | transcript=PVW1_130028000_t1 | gene=PVW1_130028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1022418-1029863(-) | protein_length=2218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475779.1         -           2218 9902at5820           -            263   0.00023   19.2   0.7   3   3      0.31        38    2.2   0.0   181   217  1132  1173  1118  1221 0.61 | transcript=PVW1_130028000_t1 | gene=PVW1_130028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1022418-1029863(-) | protein_length=2218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479224.1         -            488 9902at5820           -            263   0.00028   19.0   1.2   1   1   5.2e-06   0.00064   17.8   1.1    64   182   150   275   142   322 0.65 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 9902at5820           -            263     0.001   17.2   0.2   1   1   8.2e-06     0.001   17.2   0.2   116   174    97   159    89   173 0.81 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485026.1         -           1405 9902at5820           -            263    0.0032   15.5   0.6   1   1   4.8e-05    0.0059   14.6   0.6    93   166  1169  1243  1157  1254 0.77 | transcript=PVW1_010019200_t1 | gene=PVW1_010019200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:631829-636285(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 9902at5820           -            263    0.0096   14.0   0.1   1   1   0.00022     0.027   12.5   0.0   119   165   901   949   893   957 0.84 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479972.1         -            649 9902at5820           -            263     0.017   13.1   4.0   1   2   0.00024     0.029   12.4   2.8   122   166   200   245   184   259 0.86 | transcript=PVW1_050034700_t1 | gene=PVW1_050034700 | organism=Plasmodium_vivax_PvW1 | gene_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | transcript_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | location=CAJZCX010000010:1266235-1268184(+) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479972.1         -            649 9902at5820           -            263     0.017   13.1   4.0   2   2       6.7   8.3e+02   -2.2   0.0   151   168   267   284   247   294 0.79 | transcript=PVW1_050034700_t1 | gene=PVW1_050034700 | organism=Plasmodium_vivax_PvW1 | gene_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | transcript_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | location=CAJZCX010000010:1266235-1268184(+) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9902at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9902at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9902at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:11 2026
# [ok]
